Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2018;113.312.719;8.072.953;121.385.672;15.866.217;137.251.889;713.435.244;6.101.698;339.599;14.647.186;5.268.000;26.356.484;72.833.293;812.625.021;1.445.916.778;13,94%;14,94%;16,89%;8,40%;26,06%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2018;68.182.230;24.924.278;93.106.507;38.833.560;131.940.068;614.372.921;22.861.616;2.016;7.148.080;0;30.011.713;61.081.334;705.465.968;1.169.932.517;9,66%;13,20%;18,70%;7,96%;14,46%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2018;75.036.084;5.308.218;80.344.302;29.796.896;110.141.197;590.790.718;4.204.991;1.848.142;5.917.341;389.369;12.359.843;53.150.786;656.301.347;1.140.599.563;11,43%;12,24%;16,78%;7,04%;37,97%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2018;114.617.108;0;114.617.108;52.678.983;167.296.091;473.576.926;60.248.968;0;4.981.058;0;65.230.025;36.290.499;575.097.451;896.130.702;19,93%;19,93%;29,09%;12,79%;7,82%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2018;70.697.095;0;70.697.095;34.736.004;105.433.100;449.935.860;4.397.644;1.720.495;3.854.678;156.801;10.129.618;71.516.630;531.582.108;1.329.671.192;13,30%;13,30%;19,83%;5,32%;9,28%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2018;56.968.906;5.069.162;62.038.068;5.055.469;67.093.537;371.253.682;3.487.817;0;20.980.668;1.686.465;26.154.950;42.375.553;439.784.185;690.917.102;12,95%;14,11%;15,26%;8,98%;11,87%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2018;10.596.326;1.197.647;11.793.973;2.662.688;14.456.661;97.483.167;3.199.861;0;1.379.061;63.038;4.641.959;7.753.348;109.878.474;202.625.973;9,64%;10,73%;13,16%;5,82%;33,12%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2018;9.184.878;3.593.942;12.778.821;2.099.332;14.878.153;56.118.016;1.252.554;4.619.026;10.714.551;6.714.852;23.300.983;4.370.623;83.789.623;181.341.093;10,96%;15,25%;17,76%;7,05%;29,18%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2018;6.570.461;1.230.117;7.800.577;1.929.602;9.730.179;51.839.886;659.798;0;1.263.834;1.925;1.925.557;5.596.622;59.362.065;116.434.743;11,07%;13,14%;16,39%;6,70%;21,63%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2018;8.486.098;0;8.486.098;0;8.486.098;31.056.052;1.023.973;132.030;15.626.755;224.782;17.007.539;5.709.367;53.772.958;79.579.943;15,78%;15,78%;15,78%;10,66%;1,50%
