Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2012;NA;NA;73.021.482;32.894.064;101.822.640;638.537.797;0;34.621;1.759.625;6.404;1.800.649;31.798.663;672.137.109;NA;NA%;NA%;15,15%;NA%;27,42%
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;77.428.494;33.789.622;110.911.619;576.846.162;0;1.089.345;22.246.886;2.034.155;25.370.386;34.610.632;636.827.180;NA;NA%;NA%;17,42%;NA%;45,54%
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2012;NA;NA;63.952.689;26.992.416;90.837.025;502.015.033;0;114.381;46.009.336;1.211.074;47.334.791;23.120.659;572.470.483;NA;NA%;NA%;15,87%;NA%;45,02%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2012;NA;NA;47.424.769;45.059.024;92.227.823;472.198.000;8.509.329;0;15.149.310;0;23.658.638;8.982.085;504.838.723;NA;NA%;NA%;18,27%;NA%;36,07%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2012;NA;NA;25.101.991;25.101.991;49.135.626;368.420.823;0;0;2.595.230;0;2.595.230;18.201.163;389.217.216;NA;NA%;NA%;12,62%;NA%;13,93%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;65.189.096;5.290.624;70.342.267;282.037.308;0;12.300;20.140.526;514.945;20.667.772;16.092.998;318.798.077;NA;NA%;NA%;22,06%;NA%;33,37%
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2012;NA;NA;9.412.541;2.946.112;12.358.653;79.064.648;0;0;5.520.619;41.089;5.561.708;9.173.642;93.799.998;NA;NA%;NA%;13,18%;NA%;33,54%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;8.449.277;4.553.007;13.002.285;80.621.716;0;93.527;2.840.745;129.582;3.063.855;2.686.768;86.372.339;NA;NA%;NA%;15,05%;NA%;2,82%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2012;NA;NA;9.349.764;4.176.919;12.725.810;42.090.551;1.436.299;3.047.060;20.326.892;2.229.160;27.039.411;1.759.853;70.889.815;NA;NA%;NA%;17,95%;NA%;37,51%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;6.571.845;2.539.437;9.111.282;62.040.791;1.284.677;30.936;1.886.175;143.901;3.345.688;2.685.874;68.072.353;NA;NA%;NA%;13,38%;NA%;23,04%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;7.840.397;-145.837;7.694.560;38.907.133;643.566;49.340;5.801.657;28.466;6.523.030;4.335.716;49.765.878;NA;NA%;NA%;15,46%;NA%;12,79%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2012;NA;NA;4.778.853;1.160.857;5.789.407;26.849.065;574.270;0;25.045;20.907;620.222;4.280.600;31.749.887;NA;NA%;NA%;18,23%;NA%;8,73%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2012;NA;NA;2.779.019;1.198.219;3.977.238;30.155.410;501.225;0;22.959;0;524.185;566.112;31.245.707;NA;NA%;NA%;12,73%;NA%;3,95%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2012;NA;NA;2.401.353;2.401.353;4.802.706;24.996.481;0;3.204;27.537;0;30.741;4.451.573;29.478.795;NA;NA%;NA%;16,29%;NA%;4,15%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;3.278.263;812.887;4.038.319;11.862.414;5.617.037;0;3.262.834;231.645;9.111.517;2.337.016;23.310.946;NA;NA%;NA%;17,32%;NA%;33,17%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;3.471.435;0;3.471.020;6.744.125;1.213.815;75.488;12.700.811;371.153;14.361.267;1.052.893;22.158.285;NA;NA%;NA%;15,66%;NA%;2,16%
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2012;NA;NA;2.042.552;1.021.276;3.063.828;20.964.784;0;0;0;0;0;654.871;21.619.654;NA;NA%;NA%;14,17%;NA%;2,84%
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;2.002.656;963.544;2.966.200;15.459.809;0;0;880.767;40.789;921.556;1.067.560;17.448.925;NA;NA%;NA%;17,00%;NA%;5,14%
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;2.496.990;188.986;2.685.975;12.372.791;0;0;1.895.022;0;1.895.022;1.727.909;15.995.721;NA;NA%;NA%;16,79%;NA%;4,29%
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;1.583.253;791.359;2.374.612;13.620.498;0;0;374.664;0;374.664;1.866.004;15.861.167;NA;NA%;NA%;14,97%;NA%;49,47%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;1.636.147;621.094;2.257.241;14.179.598;0;103.055;128.327;2.782;234.164;690.410;15.104.172;NA;NA%;NA%;14,94%;NA%;3,61%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2012;NA;NA;1.690.835;314.330;2.005.166;11.839.421;0;0;545;0;545;1.423.252;13.263.218;NA;NA%;NA%;15,12%;NA%;5,39%
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2012;NA;NA;2.069.597;5.015;2.074.612;9.194.650;376.835;0;899.264;270.229;1.546.327;1.257.052;11.998.029;NA;NA%;NA%;17,29%;NA%;8,85%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;1.456.742;0;1.456.742;6.549.680;716.000;289.639;3.329.910;0;4.335.549;689.476;11.574.705;NA;NA%;NA%;12,59%;NA%;2,59%
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;1.936.606;0;1.936.606;10.629.141;0;0;121.474;3.348;124.822;729.977;11.483.940;NA;NA%;NA%;16,86%;NA%;11,57%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2012;NA;NA;1.008.786;492.229;1.501.014;8.643.059;132.059;47.282;1.553.666;0;1.733.007;489.776;10.865.843;NA;NA%;NA%;13,81%;NA%;0,94%
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;1.237.503;161.276;1.398.779;9.767.057;0;0;0;0;0;531.922;10.298.979;NA;NA%;NA%;13,58%;NA%;0,31%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2012;NA;NA;839.434;419.989;1.259.422;9.476.302;0;0;812;1.959;2.771;496.954;9.976.027;NA;NA%;NA%;12,62%;NA%;14,96%
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;1.610.287;173;1.610.460;4.665.038;3.314.569;56.911;914.343;112.147;4.397.969;685.772;9.748.780;NA;NA%;NA%;16,52%;NA%;0,70%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;990.796;292.454;1.283.251;8.226.245;0;0;1.094.900;31.927;1.126.827;198.380;9.551.452;NA;NA%;NA%;13,44%;NA%;12,37%
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2012;NA;NA;1.251.736;0;1.251.736;7.821.033;0;0;0;0;0;986.857;8.807.890;NA;NA%;NA%;14,21%;NA%;17,44%
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;1.209.731;256.556;1.466.287;7.745.061;0;418.982;371.977;0;790.959;80.854;8.616.874;NA;NA%;NA%;17,02%;NA%;10,04%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2012;NA;NA;1.306.377;-1.761;1.304.617;7.689.259;0;0;0;10.194;10.194;463.941;8.163.395;NA;NA%;NA%;15,98%;NA%;1,79%
BRB;31976;b1;;C;1;BRASILIA;DF;09/2012;NA;NA;915.142;108.688;1.023.830;7.250.847;0;827;163.383;9.776;173.985;615.386;8.040.218;NA;NA%;NA%;12,73%;NA%;15,29%
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2012;NA;NA;2.203.377;2.172.458;4.375.835;197.165;0;0;4.216;6.391.704;6.395.921;156.698;6.749.784;NA;NA%;NA%;64,83%;NA%;0,00%
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2012;NA;NA;841.810;7.281;849.091;5.023.489;0;282;109.638;251;110.171;686.748;5.820.408;NA;NA%;NA%;14,59%;NA%;22,86%
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;1.314.716;69.654;1.383.847;4.053.885;115.423;412;733.691;17.913;867.439;827.084;5.748.407;NA;NA%;NA%;24,07%;NA%;3,44%
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;770.421;-51.213;716.077;4.274.448;248.951;3.118;638.950;3.455;894.474;360.096;5.529.017;NA;NA%;NA%;12,95%;NA%;50,44%
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;09/2012;NA;NA;2.049.783;0;2.049.783;1.851.369;0;65.499;2.265.768;0;2.331.267;590.046;4.772.681;NA;NA%;NA%;42,95%;NA%;7,32%
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2012;NA;NA;551.971;12.673;564.644;4.370.526;0;0;0;0;0;189.510;4.560.035;NA;NA%;NA%;12,38%;NA%;0,73%
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2012;NA;NA;483.800;122.366;606.166;4.322.500;0;0;5.949;348;6.297;216.550;4.545.347;NA;NA%;NA%;13,34%;NA%;14,84%
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;09/2012;NA;NA;1.160.075;149;1.160.224;4.066.113;0;0;63;0;63;368.313;4.434.489;NA;NA%;NA%;26,16%;NA%;47,37%
BES;51482;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;540.357;23.711;564.068;3.240.831;49.661;0;662.098;4.255;716.014;230.378;4.187.224;NA;NA%;NA%;13,47%;NA%;24,86%
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;09/2012;NA;NA;398.461;203.976;602.436;3.320.021;0;181;243.764;8.419;252.364;371.568;3.943.953;NA;NA%;NA%;15,27%;NA%;23,79%
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2012;NA;NA;1.149.904;-1.612;1.148.292;3.438.040;0;0;0;0;0;300.102;3.738.142;NA;NA%;NA%;30,72%;NA%;0,26%
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;586.206;1.352;585.167;3.188.093;0;17.275;294.457;20.961;332.693;173.723;3.694.509;NA;NA%;NA%;15,84%;NA%;11,67%
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;09/2012;NA;NA;518.754;0;518.754;3.546.955;0;0;0;0;0;141.657;3.688.612;NA;NA%;NA%;14,06%;NA%;0,43%
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;779.602;3.272;782.874;3.437.022;0;17.842;7.109;18.674;43.624;120.751;3.601.397;NA;NA%;NA%;21,74%;NA%;39,20%
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;09/2012;NA;NA;307.869;143.835;451.703;3.275.974;33.309;0;0;0;33.309;209.935;3.519.218;NA;NA%;NA%;12,84%;NA%;24,24%
BANCOOB;51750;b1;;C;2;BRASILIA;DF;09/2012;NA;NA;451.075;32.903;483.978;3.154.467;0;0;35.689;0;35.689;314.095;3.504.250;NA;NA%;NA%;13,81%;NA%;14,54%
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;532.344;0;532.344;3.179.466;0;0;0;0;0;232.073;3.411.538;NA;NA%;NA%;15,60%;NA%;0,05%
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;09/2012;NA;NA;398.861;113.984;512.846;2.818.167;238.157;0;0;0;238.157;106.019;3.162.344;NA;NA%;NA%;16,22%;NA%;0,84%
BBM;30207;b1;;C;2;SALVADOR;BA;09/2012;NA;NA;525.750;2.034;527.784;1.779.498;737.002;0;349.955;0;1.086.956;244.527;3.110.980;NA;NA%;NA%;16,97%;NA%;8,79%
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2012;NA;NA;469.929;2.751;472.679;2.869.468;0;0;0;0;0;206.824;3.076.292;NA;NA%;NA%;15,37%;NA%;0,96%
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2012;NA;NA;469.446;61.643;531.089;2.881.310;0;0;0;0;0;174.220;3.055.530;NA;NA%;NA%;17,38%;NA%;6,16%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;09/2012;NA;NA;1.309.192;8.101;917.293;2.108.632;0;0;355.396;0;355.396;354.740;2.818.768;NA;NA%;NA%;32,54%;NA%;2,83%
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;749.755;8.120;757.875;2.199.209;0;0;382.532;0;382.532;165.121;2.746.862;NA;NA%;NA%;27,59%;NA%;2,56%
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2012;NA;NA;721.885;65.725;764.555;2.379.237;0;0;0;0;0;245.709;2.624.946;NA;NA%;NA%;29,13%;NA%;7,65%
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;388.688;0;388.688;2.514.355;0;0;38;0;38;30.242;2.544.634;NA;NA%;NA%;15,27%;NA%;23,51%
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;327.089;65.175;392.265;2.428.045;0;0;0;0;0;82.758;2.510.803;NA;NA%;NA%;15,62%;NA%;4,33%
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;09/2012;NA;NA;622.382;82.085;704.467;2.256.824;54.953;0;60.959;0;115.912;111.425;2.484.161;NA;NA%;NA%;28,36%;NA%;0,32%
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;09/2012;NA;NA;433.817;24.594;458.411;2.219.756;37.058;0;30.005;17.996;85.059;158.127;2.462.942;NA;NA%;NA%;18,61%;NA%;7,32%
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;775.339;0;717.523;1.012.233;0;35.980;1.000.553;17;1.036.550;317.184;2.365.967;NA;NA%;NA%;30,33%;NA%;8,47%
BANIF;20255;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;205.737;6.561;212.298;1.997.870;28.853;3.265;8.036;0;40.154;201.726;2.239.750;NA;NA%;NA%;9,48%;NA%;10,01%
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2012;NA;NA;525.982;26;526.008;2.125.796;0;0;0;0;0;112.549;2.238.345;NA;NA%;NA%;23,50%;NA%;1,18%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2012;NA;NA;677.606;0;517.606;2.024.749;0;0;0;0;0;169.961;2.194.710;NA;NA%;NA%;23,58%;NA%;0,99%
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;09/2012;NA;NA;247.864;77.505;324.795;1.756.294;0;267;27.083;34.997;62.348;285.266;2.103.908;NA;NA%;NA%;15,44%;NA%;24,79%
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;730.326;0;730.326;763.603;0;0;991.713;41.826;1.033.539;254.992;2.052.134;NA;NA%;NA%;35,59%;NA%;2,50%
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2012;NA;NA;388.756;0;388.752;1.765.178;0;0;198;0;198;163.785;1.929.162;NA;NA%;NA%;20,15%;NA%;12,42%
ING;51073;b1;;C;3;SAO PAULO;SP;09/2012;NA;NA;819.188;0;819.188;1.546.471;0;0;213.823;0;213.823;153.283;1.913.577;NA;NA%;NA%;42,81%;NA%;0,50%
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;09/2012;NA;NA;264.252;68.529;331.452;907.590;125.909;4.919;684.431;78.775;894.034;100.217;1.901.840;NA;NA%;NA%;17,43%;NA%;7,04%
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;09/2012;NA;NA;987.352;0;987.352;981.542;0;0;0;0;0;802.706;1.784.248;NA;NA%;NA%;55,34%;NA%;1,56%
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;09/2012;NA;NA;344.073;-1;344.072;1.259.285;0;0;1.936;0;1.936;501.920;1.763.142;NA;NA%;NA%;19,51%;NA%;14,13%
HONDA;51396;b2;;C;3;SAO PAULO;SP;09/2012;NA;NA;416.684;0;416.684;1.653.179;0;0;0;0;0;85.166;1.738.345;NA;NA%;NA%;23,97%;NA%;0,15%
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;09/2012;NA;NA;1.090.995;641;1.091.636;1.403.807;79.498;0;103.276;0;182.774;143.314;1.729.894;NA;NA%;NA%;63,10%;NA%;2,28%
