Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2018;26.494.321;15.038.422;23.297.751;19.764.402;3.196.570;291.733;3.204.048;15,79%;27,34%;42;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2018;25.391.756;2.385.521;23.784.272;6.270.382;1.607.485;-18.935;785.332;11,06%;2,77%;5;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;06/2018;23.346.547;4.036.569;21.934.032;21.163.050;1.412.515;81.204;1.367.909;16,84%;15,61%;130;30
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2018;23.069.909;660.492;20.584.458;12.312.098;2.485.451;88.176;2.485.451;17,36%;2,41%;4;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;06/2018;21.990.070;8.335.089;20.171.077;16.178.938;1.818.993;30.683;2.228.937;22,72%;2,29%;14;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;06/2018;20.922.134;2.762.363;19.526.073;7.825.712;1.396.062;77.698;1.395.855;25,40%;0,25%;4;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2018;18.651.604;3.034.169;16.769.118;5.236.137;1.882.486;-26.212;2.358.881;13,13%;6,68%;121;1
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;06/2018;18.256.492;2.118.376;15.178.248;5.996.161;3.078.243;37.478;2.877.094;19,27%;0,55%;4;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;06/2018;16.919.751;13.895.131;14.343.080;13.493.487;2.576.671;65.739;2.570.151;16,75%;0,80%;4;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;06/2018;16.548.094;2.726.027;15.657.289;6.491.483;890.805;10.449;851.421;17,13%;0,21%;4;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2018;16.220.351;9.095.682;13.485.083;9.847.639;2.735.268;78.197;1.284.124;13,89%;16,99%;36;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2018;15.613.619;13.167.494;12.686.001;9.202.680;2.927.618;297.744;3.829.995;27,87%;0,14%;3;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2018;14.872.562;8.623.970;13.339.413;10.881.448;1.533.149;139.656;1.426.861;16,10%;10,12%;127;5
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;06/2018;13.872.543;7.872.983;11.489.266;10.909.061;2.383.277;62.883;2.342.884;19,21%;14,49%;45;1
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;06/2018;13.384.443;363.232;11.656.284;5.586.177;1.728.159;131.948;1.720.167;25,90%;1,31%;4;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;06/2018;12.823.053;298.621;12.429.149;20.371;393.904;0;170.994;15,30%;3,59%;0;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;06/2018;11.238.843;2.103.890;9.663.642;4.721.094;1.575.201;-25.621;1.460.111;27,12%;0,48%;2;0
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2018;11.072.820;8.926.345;8.923.194;5.744.348;2.149.626;179.981;1.952.635;22,78%;5,72%;3;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2018;9.160.445;5.209.353;6.944.498;6.515.720;2.215.947;2.153;1.228.199;15,11%;6,01%;4;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;06/2018;9.050.419;5.750.478;8.215.100;6.580.137;835.319;29.231;1.028.902;16,11%;20,72%;161;79
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n4;;I;2;SAO PAULO;SP;06/2018;8.763.728;0;8.212.209;0;551.519;54.228;NA;NA%;NA%;1;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;06/2018;8.589.279;3.326.257;7.665.263;6.303.709;924.016;10.462;746.056;11,35%;21,92%;8;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;06/2018;8.540.580;8.222.664;6.945.184;6.412.261;1.595.396;53.118;1.611.715;17,21%;0,19%;5;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;06/2018;8.268.846;7.341.887;6.860.613;6.491.975;1.408.233;104.232;1.402.206;17,97%;1,03%;2;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;06/2018;8.169.670;6.625.463;6.005.099;1.404.705;2.164.570;198.562;1.309.993;15,40%;2,53%;2;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;06/2018;7.804.467;1.721.545;6.834.162;5.020.731;970.305;29.095;1.708.682;31,76%;0,20%;2;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2018;7.789.670;0;1.962.399;43;5.827.271;62.805;5.827.271;46,05%;0,01%;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;06/2018;7.664.621;1.697.103;1.330.096;1.224.873;6.334.524;36.332;719.374;27,11%;3,26%;64;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;06/2018;7.403.829;4.142.895;6.303.593;5.915.761;1.100.236;130.695;1.010.649;22,97%;7,59%;117;33
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;06/2018;7.201.921;68.432;6.849.876;2.267.024;352.045;19.938;209.937;14,55%;2,38%;0;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;06/2018;7.069.787;0;5.774.369;1.587.055;1.295.418;87.012;752.019;20,63%;7,59%;6;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n4;;C;2;SAO PAULO;SP;06/2018;7.069.741;4.819.934;6.267.048;1.237.539;802.693;-50.896;NA;NA%;NA%;1;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;06/2018;6.957.040;162.580;6.728.239;0;228.801;0;133.476;16,88%;4,56%;0;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;06/2018;6.666.673;5.484.774;4.940.740;4.336.423;1.725.933;60.147;1.043.276;16,40%;1,83%;2;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;06/2018;6.656.849;6.443.118;5.595.009;5.515.707;1.061.840;75.586;1.054.944;16,77%;0,08%;4;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;06/2018;6.500.200;6.133.511;5.821.035;1.479.505;679.165;115.663;674.945;13,31%;0,14%;6;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;06/2018;6.495.831;5.289.770;5.792.684;5.169.614;703.147;86.373;651.401;13,53%;1,20%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;06/2018;6.293.772;18.336;5.822.446;149.422;471.325;24.693;261.963;16,49%;19,03%;0;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2018;6.131.315;2.736.372;5.150.344;4.352.422;980.972;-15.487;601.390;11,80%;1,98%;3;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;06/2018;5.871.788;4.043.224;4.280.867;3.513.016;1.590.921;91.698;1.184.122;24,41%;0,24%;5;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;06/2018;5.742.037;354.418;5.227.248;4.833.471;514.789;-6.984;358.166;18,05%;5,13%;6;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;06/2018;5.720.236;3.496.787;4.373.566;4.222.514;1.346.670;104.265;827.275;22,06%;13,55%;4;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;06/2018;5.632.283;3.390.073;5.037.628;4.645.601;594.656;38.842;575.076;14,37%;0,80%;8;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;06/2018;5.628.338;808.851;4.980.732;3.284.065;647.605;45.730;639.710;30,37%;1,28%;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;06/2018;5.624.706;3.022.207;4.172.341;3.323.607;1.452.365;68.456;1.447.475;33,90%;5,46%;0;60
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;06/2018;5.429.416;2.298.039;5.015.332;4.410.144;414.083;30.467;435.067;15,13%;17,64%;64;12
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;06/2018;5.427.230;4.917.784;4.540.833;4.240.247;886.397;38.254;886.397;19,89%;1,09%;3;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;06/2018;5.282.189;2.827.749;4.559.425;4.286.647;722.764;39.354;622.611;18,68%;12,53%;18;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;06/2018;5.213.771;3.509.720;4.563.069;4.229.123;650.702;46.324;631.338;15,15%;0,21%;3;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;06/2018;5.094.581;2.268.234;415.999;31.812;4.678.582;372.252;4.656.683;54,31%;0,67%;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;06/2018;4.994.504;105.680;4.788.480;16.345;206.024;7.299;109.927;11,76%;5,41%;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;06/2018;4.909.740;2.460.880;3.689.300;3.364.261;1.220.440;141.997;1.220.163;36,75%;1,88%;0;88
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;06/2018;4.726.572;0;4.469.261;4.300.706;257.311;13.580;118.793;12,67%;2,31%;0;0
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;S4;I;3;SAO PAULO;SP;06/2018;4.696.787;48.462;4.388.564;1.998.660;308.223;8.471;306.664;20,87%;1,19%;2;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;06/2018;4.638.192;2.876.926;3.719.838;3.417.750;918.354;28.069;926.426;33,97%;1,32%;36;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;06/2018;4.392.901;1.762.197;3.366.505;2.465.917;1.026.396;33.422;1.026.139;28,52%;0,34%;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;06/2018;3.871.273;67.192;3.747.990;0;123.283;1.057;61.186;14,79%;3,32%;0;0
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;06/2018;3.831.834;909.568;3.519.332;1.489.983;312.502;17.904;346.136;15,71%;16,09%;7;0
