Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;03/2015;69.739.142;21.558.498;91.297.640;37.407.348;128.704.988;753.727.844;15.488.565;36.011;4.060.297;0;19.584.874;30.116.897;803.429.614;NA;8,68%;11,36%;16,02%;NA%;24,26%
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;03/2015;91.681.448;50.269;91.731.717;29.401.685;121.133.402;728.705.551;11.198.178;921.455;12.046.445;609.882;24.775.960;35.508.837;788.990.348;NA;11,62%;11,63%;15,35%;NA%;47,39%
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;03/2015;64.298.372;0;64.298.372;32.149.186;96.447.558;594.964.928;30.287.771;0;13.690.663;0;43.978.434;25.075.903;664.019.265;NA;9,68%;9,68%;14,52%;NA%;11,41%
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;03/2015;74.094.586;0;74.094.586;19.513.015;93.607.600;557.017.645;5.341.055;186.731;12.267.311;646.410;18.441.507;39.117.367;614.576.518;NA;12,06%;12,06%;15,23%;NA%;47,89%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;03/2015;58.093.652;0;58.093.652;19.602.167;77.695.819;496.431.889;1.229.740;0;1.740.350;0;2.970.089;33.593.240;532.995.218;NA;10,90%;10,90%;14,58%;NA%;14,26%
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;03/2015;50.787.961;4.062.473;54.850.434;5.659.362;60.509.796;330.703.068;5.758.284;0;23.336.645;141.273;29.236.202;18.627.431;378.566.701;NA;13,42%;14,49%;15,98%;NA%;25,42%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;03/2015;13.217.732;4.134.303;17.352.035;4.322.965;21.675.001;77.813.935;2.489.876;23.197.218;23.117.136;3.987.873;52.792.104;1.945.665;132.551.704;NA;9,97%;13,09%;16,35%;NA%;49,02%
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;03/2015;8.055.174;0;8.055.174;5.930.881;13.986.055;96.527.214;598.753;0;7.302.352;179.101;8.080.206;11.172.782;115.780.202;NA;6,96%;6,96%;12,08%;NA%;21,46%
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;03/2015;9.000.294;969.911;9.970.206;1.882.002;11.852.208;80.283.021;1.875.462;5.891;217.055;24.909;2.123.316;6.705.661;89.111.997;NA;10,10%;11,19%;13,30%;NA%;20,62%
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;03/2015;6.872.823;0;6.872.823;3.650.556;10.523.379;68.987.900;522.113;918;2.268.300;103.000;2.894.331;4.406.840;76.289.071;NA;9,01%;9,01%;13,79%;NA%;3,40%
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;03/2015;6.501.998;0;6.501.998;0;6.501.998;38.401.652;1.064.426;35.628;8.357.018;167.656;9.624.729;4.959.101;52.985.482;NA;12,27%;12,27%;12,27%;NA%;13,03%
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;03/2015;5.684.051;0;5.684.051;1.243.603;6.927.654;34.347.548;741.126;0;52;18.081;759.259;5.680.699;40.787.506;NA;13,94%;13,94%;16,98%;NA%;4,02%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;03/2015;2.982.039;0;2.982.039;2.488.204;5.470.243;30.634.504;553.716;2.873;68.691;0;625.280;6.129.821;37.389.605;NA;7,98%;7,98%;14,63%;NA%;4,16%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;03/2015;3.715.663;0;3.715.663;0;3.715.663;16.271.386;666.544;4.670;6.233.506;2.036.950;8.941.670;1.798.020;27.011.076;NA;13,76%;13,76%;13,76%;NA%;1,84%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;03/2015;2.875.082;0;2.875.082;1.604.000;4.479.082;19.499.444;674.114;31.427;3.108.988;446.746;4.261.275;3.134.098;26.894.817;NA;10,69%;10,69%;16,65%;NA%;17,58%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;03/2015;2.752.109;0;2.752.109;10.619;2.762.729;16.449.854;176.510;3.829;3.886.064;0;4.066.403;2.058.884;22.575.141;NA;12,19%;12,19%;12,24%;NA%;2,52%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;03/2015;2.225.044;0;2.225.044;707.957;2.933.002;19.134.216;353.269;42.764;441.809;1.982;839.824;712.553;20.686.592;NA;10,76%;10,76%;14,18%;NA%;1,43%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;03/2015;2.700.952;0;2.700.952;1.015.412;3.716.364;19.776.313;0;0;0;0;0;573.548;20.349.861;NA;13,27%;13,27%;18,26%;NA%;1,09%
