Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2018;66.138.364;167.089.234;30.790.106;204.090.110;7.435.644;475.543.458;430.834.001;16.576.968;84.004.618;5.331.308;25.062.612;126.160;131.101.666;100.930.408;1.138.409.533;1.387.583;216.281.285;1.356.078.401;434.648;91.861.084;1.448.374.133
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2018;70.197.174;127.638.224;2.843.020;230.103.953;646.185;431.428.555;316.306.586;14.830.330;17.461.199;34.855.584;43.468.269;4.393.050;115.008.432;60.714.597;923.458.170;31.654.619;263.257.728;1.218.370.517;2.536.901;135.734.242;1.356.641.660
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2018;28.331.910;283.207.077;463.261;190.009.189;9.504.939;511.516.377;150.261.784;68.289.603;0;24.090.240;11.755.538;748.633;104.884.014;288.065.831;1.054.728.005;504.141;177.086.578;1.232.318.725;0;40.125.297;1.272.444.022
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2018;30.841.588;103.076.706;1.645.902;164.474.281;570.174;300.608.649;222.212.717;25.856.829;12.411.527;125.283.606;3.422.199;532.401;167.506.563;51.386.263;741.714.192;16.011.812;159.777.079;917.503.083;365.912;113.108.860;1.030.977.855
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2018;0;0;0;0;10.387.538;10.387.538;4.821.000;0;800.362;1.711.107;19.268.967;0;21.780.436;386.784.153;423.773.128;895.391;338.305.403;762.973.921;0;71.487.211;834.461.132
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2018;17.127.842;42.570.994;3.810.724;177.794.187;223.081;241.526.827;133.154.838;26.019.014;11.332.754;31.095.732;5.079.029;3.518.583;77.045.111;60.884.356;512.611.133;17.598.952;141.320.558;671.530.643;422.982;65.937.438;737.891.063
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2018;864.477;2.003.510;1.217.415;17.411.105;175;21.496.682;41.850.598;782.651;6.326.615;22.898.791;2.009.341;22.153.870;54.171.267;14.815.163;132.333.710;1.698.161;17.198.904;151.230.775;59.523;10.475.041;161.765.338
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2018;448.586;0;177.944;18.051.493;0;18.678.023;54.777.191;1.334.570;729.461;5.402.465;4.130.291;136.645;11.733.433;5.314.387;90.503.034;7.749.701;38.328.963;136.581.698;115.906;19.175.528;155.873.133
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2018;108.341;0;1.874.549;10.652.044;0;12.634.934;22.123.730;565.687;2.017.401;20.843.856;605.806;2.025.671;26.058.421;4.110.698;64.927.784;3.818.513;19.553.040;88.299.338;40.158;9.136.857;97.476.352
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;6.609.626;6.609.626;0;57.892.416;64.502.042;0;13.783.449;78.285.491
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2018;2.766.248;8.740.123;69.592;36.404.062;7.530;47.987.555;4.967.889;717.863;0;1.467.221;0;0;2.185.085;2.896.588;58.037.117;136.214;10.162.898;68.336.229;17.860;7.034.759;75.388.848
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2018;4.585.824;0;8.891;9.793.116;158.939;14.546.770;6.526.972;0;0;110.235;0;506.704;616.939;14.017.437;35.708.118;7.536.345;21.990.230;65.234.693;52.715;8.521.608;73.809.016
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2018;238.300;2.255.666;1.477.621;5.983.226;1.903.219;11.858.033;1.053.972;0;166.854;0;1.166.366;0;1.333.220;2.961.375;17.206.600;84;36.847.075;54.053.759;0;3.772.385;57.826.144
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2018;90.806;11.620.108;6.014.356;69.453;0;17.794.723;16.940.501;0;459.558;4.705;0;0;464.263;8.813.866;44.013.353;546;2.288.359;46.302.258;0;1.261.624;47.563.883
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2018;707.228;4.446.149;26.753.442;443.906;0;32.350.724;3.707.692;0;185.083;0;0;0;185.083;2.933.017;39.176.517;0;6.155.284;45.331.801;188;1.692.329;47.024.318
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2018;456.084;0;130.394;4.293.560;158.731;5.038.769;2.185.891;0;142.621;4.086.893;0;1.643.586;5.873.100;5.981.645;19.079.406;3.505.235;20.609.580;43.194.221;14.864;3.374.888;46.583.973
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2018;222.592;0;10.757;6.180.297;0;6.413.646;5.034.619;0;0;0;0;157.957;157.957;9.890.561;21.496.783;5.887.722;10.814.381;38.198.886;1.357;4.833.449;43.033.692
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2018;784.391;0;0;4.098.591;0;4.882.982;4.446.859;0;0;443.551;0;609.054;1.052.605;7.099.030;17.481.475;4.736.602;13.500.698;35.718.776;39.876;3.758.792;39.517.444
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;06/2018;107.119;0;14.123;3.269.537;0;3.390.780;128.640;0;0;0;0;0;0;3.812.129;7.331.549;1.252.113;25.320.903;33.904.565;1.226;1.473.843;35.379.634
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2018;49.199;0;424.567;4.940.835;0;5.414.601;793.400;896.137;2.675.072;5.036.493;0;34.347;8.642.049;6.762.944;21.612.995;605.339;5.226.417;27.444.751;32.834;3.445.961;30.923.545
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;06/2018;21.564;0;8.162.977;7.110.362;0;15.294.903;896.168;922.299;79.676;449.540;0;4.044;1.455.558;0;17.646.629;151.573;4.976.422;22.774.625;43;4.016.378;26.791.046
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2018;53.620;0;392;248.815;0;302.827;564.327;2.198.825;336.441;0;0;0;2.535.266;16.546.368;19.948.788;403.347;3.751.112;24.103.247;532;2.632.516;26.736.296
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2018;682.397;0;355.594;3.787.356;9.110;4.834.458;1.922.878;640.607;592.614;7.301.367;1.934.494;0;10.469.082;2.537.983;19.764.402;34.146;3.396.222;23.194.770;102.981;3.196.570;26.494.321
