Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;03/2016;65.336.289;24.641.228;89.977.517;38.466.286;128.443.802;731.373.597;24.971.345;7.172;2.640.989;0;27.619.507;31.708.475;790.701.579;1.208.822.847;8,26%;11,38%;16,24%;7,44%;15,79%
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;03/2016;99.220.203;69.851;99.290.053;23.581.566;122.871.620;637.179.005;3.040.454;623.514;15.778.805;913.327;20.356.099;37.363.592;694.898.696;1.198.446.136;14,28%;14,29%;17,68%;8,28%;27,36%
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;03/2016;70.151.884;0;70.151.884;35.075.942;105.227.825;583.809.224;57.790.148;0;7.033.078;0;64.823.226;29.806.020;678.438.470;964.936.355;10,34%;10,34%;15,51%;7,27%;13,46%
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;03/2016;76.704.327;0;76.704.327;23.748.161;100.452.488;543.276.415;5.533.358;951.947;7.506.901;3.650;13.995.856;38.501.528;595.773.799;969.926.182;12,87%;12,87%;16,86%;7,91%;33,99%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;03/2016;52.714.616;0;52.714.616;22.726.260;75.440.876;504.853.603;132.455;0;1.688.724;0;1.821.178;44.156.342;550.831.124;1.340.339.417;9,57%;9,57%;13,70%;3,93%;14,48%
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;03/2016;49.497.910;4.506.837;54.004.747;4.666.944;58.671.691;309.367.060;9.325.031;0;21.225.904;144.172;30.695.107;16.779.267;356.841.434;623.230.465;13,87%;15,13%;16,44%;8,67%;18,86%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;03/2016;17.259.589;4.585.888;21.845.477;3.409.083;25.254.560;115.522.490;3.705.896;18.960.435;19.900.476;5.843.078;48.409.886;2.167.323;166.099.699;243.739.628;10,39%;13,15%;15,20%;8,96%;40,34%
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;03/2016;8.589.050;0;8.589.050;6.153.165;14.742.216;88.813.204;737.657;0;4.894.109;2.545;5.634.311;12.154.379;106.601.893;182.078.552;8,06%;8,06%;13,83%;4,72%;14,09%
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;03/2016;9.145.445;1.085.759;10.231.204;1.974.957;12.206.161;68.871.144;5.414.564;0;495.878;65.468;5.975.911;4.416.457;79.263.511;172.790.170;11,54%;12,91%;15,40%;5,92%;24,17%
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;03/2016;6.586.650;0;6.586.650;3.155.318;9.741.968;59.714.466;103.004;0;1.834.890;45.727;1.983.621;6.016.317;67.714.404;125.176.985;9,73%;9,73%;14,39%;5,26%;3,92%
