Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;09/2018;3.370.759;9.865.355;13.714.626;3.589.723;-236.070;3.353.653;0;0;0;0;0;10.388.213;12.062;191.142;40.895.810;0;40.895.810
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;09/2018;1.158;4.711.626;1.683.416;628.134;0;628.134;0;0;0;0;0;25.732.637;1.870;23.076;32.781.916;0;32.781.916
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;09/2018;26.844;6.304.218;8.754.918;11.286.031;-237.898;11.048.133;0;0;0;0;0;4.802.550;344.842;48.873;31.330.379;0;31.330.379
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;09/2018;215.358;13.713.088;9.174.643;3.664.925;-273.446;3.391.480;18;16.322;7.578;-70;23.848;954.499;915.571;265.346;28.653.832;7.578;28.646.254
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;09/2018;150.539;3.126.347;3.067.583;17.793.871;-774.688;17.019.183;0;0;0;0;0;4.820.039;2.377;23.274;28.209.344;0;28.209.344
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;09/2018;7.571;1.681.153;1.683.571;18.544.082;-1.171.399;17.372.683;8;702;612;-98;1.224;5.993.202;541.050;591.603;27.872.057;612;27.871.445
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;09/2018;139.748;4.985.735;2.367.566;12.578.605;-878.936;11.699.669;30.127;769.371;92.609;-11.387;880.720;6.511.844;267.998;885.385;27.738.664;92.609;27.646.056
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;09/2018;85.866;3.640.527;9.502.635;7.409.197;-432.799;6.976.398;0;58.884;35.093;-12.723;81.254;4.130.668;329.749;70.223;24.817.320;35.093;24.782.227
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;09/2018;401.219;9.786.307;5.274.420;794.664;-442;794.223;0;0;0;0;0;7.076.670;220.581;57.084;23.610.503;0;23.610.503
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;09/2018;2.565;6.002.036;1.488.078;728.300;-2.288;726.012;1.165;695.011;34.306;-26.850;703.631;14.502.334;3.813;3.389;23.431.858;34.306;23.397.552
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;09/2018;11.923;5.333.225;2.838.874;1.254.151;-5.790;1.248.360;0;0;0;0;0;13.173.955;14.315;58.903;22.679.555;0;22.679.555
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;09/2018;536.129;8.049.160;10.118.181;1.044.402;-908;1.043.493;0;0;0;0;0;2.476.107;444;18.051;22.241.565;0;22.241.565
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;09/2018;24.933;4.677.470;1.046.396;883.025;-3.968;879.057;0;0;0;0;0;15.553.435;1.404;1.721;22.184.416;0;22.184.416
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;09/2018;46.323;2.577.181;11.445.436;3.041.079;-229.949;2.811.130;0;0;0;0;0;1.517.737;308.548;346.417;19.052.772;0;19.052.772
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;09/2018;44.391;1.472.132;1.973.402;8.998.211;-551.008;8.447.202;0;0;0;0;0;4.045.152;373.112;650.816;17.006.209;0;17.006.209
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;09/2018;20.946;801.239;2.277.827;13.401.406;-382.164;13.019.242;0;0;0;0;0;657.861;60.110;27.386;16.864.612;0;16.864.612
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;09/2018;7.145;508.566;115.569;13.490.917;-649.184;12.841.733;1.223;287.030;40.004;-3.753;324.505;2.376.219;39.888;21.112;16.234.736;40.004;16.194.732
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;09/2018;6.497;4.591.364;9.149.633;363.346;-3.633;359.713;0;0;0;0;0;1.462.146;2.401;21.429;15.593.182;0;15.593.182
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;09/2018;154.148;1.632.138;2.277.112;8.605.961;-421.409;8.184.553;0;0;0;0;0;1.786.112;858.774;302.076;15.194.911;0;15.194.911
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;09/2018;4.058;2.871.105;3.041.782;5.875.306;-132.501;5.742.804;3.669;360.681;99.157;-10.721;452.785;1.233.448;236.926;346.495;13.929.403;99.157;13.830.247
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;09/2018;0;905.470;11.362.491;293.135;-264;292.871;0;0;0;0;0;264.949;42;120.173;12.945.996;0;12.945.996
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;09/2018;9.109;395.799;140.344;9.607.568;-235.966;9.371.601;19;25.925;199;-200;25.943;2.153.298;14.803;118.594;12.229.490;199;12.229.291
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;I;3;RIO DE JANEIRO;RJ;09/2018;3.272;8.116.975;2.003.501;0;0;0;0;0;0;0;0;1.325.299;59.433;504.678;12.013.157;0;12.013.157
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n4;;I;2;SAO PAULO;SP;09/2018;3.505;0;2.586.367;0;0;0;0;0;0;0;0;370.052;6.560.046;529.855;10.049.825;0;10.049.825
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;09/2018;536.323;1.221.926;1.238.562;5.619.766;-662.753;4.957.013;0;0;0;0;0;1.034.556;472.696;263.760;9.724.836;0;9.724.836
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;09/2018;90.206;718.290;1.920.040;3.166.725;-152.385;3.014.340;0;0;0;0;0;2.892.360;125.374;696.098;9.456.708;0;9.456.708
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;09/2018;208.439;1.057.748;3.642.029;2.412.171;-366.018;2.046.153;0;0;0;0;0;1.741.887;538.570;164.914;9.399.738;0;9.399.738
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;09/2018;17.676;47.093;977;7.934.277;-357.228;7.577.049;569;190.922;11.435;-1.495;201.430;1.364.241;22.146;5.547;9.236.158;11.435;9.224.722
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;09/2018;237.767;3.084.706;672.525;764.458;-3.988;760.469;0;0;0;0;0;4.109.274;51.271;6.665;8.922.678;0;8.922.678
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;09/2018;61.603;546.670;22;7.567.019;-279.691;7.287.328;257;17.024;6.793;-483;23.592;613.951;26.625;21.427;8.581.216;6.793;8.574.423
NU PAGAMENTOS - PRUDENCIAL;1000084693;n4;;C;2;SAO PAULO;SP;09/2018;318.498;166.500;2.581.480;0;0;0;0;0;0;0;0;5.387.206;14.824;22.134;8.490.641;0;8.490.641
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;09/2018;11;3.835.744;840.808;1.638.483;-85.825;1.552.657;0;0;0;0;0;74.038;2.038.107;40.158;8.381.523;0;8.381.523
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;09/2018;2.695;335.110;270.549;2.593.403;-761.980;1.831.423;0;0;0;0;0;4.928.772;40.506;877.823;8.286.878;0;8.286.878
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;09/2018;0;418.830;7.237.540;165.368;-21;165.347;0;0;0;0;0;181.737;76;64.057;8.067.588;0;8.067.588
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2018;8;5.539.338;991.084;63.109;-20;63.088;0;0;0;0;0;9.827;702.265;219.604;7.525.213;0;7.525.213
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;S4;I;3;SAO PAULO;SP;09/2018;10.743;1.325.426;1.224.839;0;0;0;0;0;0;0;0;4.943.583;451;3.633;7.508.675;0;7.508.675
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;09/2018;7.632;139.919;0;7.253.332;-338.116;6.915.216;0;0;0;0;0;214.205;72.436;10.721;7.360.130;0;7.360.130
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;09/2018;159.683;821.945;1.010.232;4.234.295;-140.508;4.093.787;0;0;0;0;0;507.173;476.903;194.686;7.264.410;0;7.264.410
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;09/2018;14.593;656.707;394.726;5.716.071;-74.200;5.641.871;1.720;114.515;36.154;-819;151.570;327.469;31.163;10.172;7.228.271;36.154;7.192.117
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;09/2018;73.206;2.050.508;2.303.807;1.400.376;-3.108;1.397.268;0;0;0;0;0;802.009;533.967;10.269;7.171.034;0;7.171.034
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;09/2018;16;4.835.366;1.773.695;10.487;-275;10.212;0;0;0;0;0;26.418;144.628;372.473;7.162.808;0;7.162.808
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;09/2018;38.832;0;955.425;2.180.063;-330.964;1.849.099;0;0;0;0;0;4.263.239;20.154;6.298;7.133.047;0;7.133.047
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;09/2018;8.193;378.635;892.931;5.229.994;-520.069;4.709.925;0;0;0;0;0;702.195;53.362;33.013;6.778.255;0;6.778.255
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2018;332;982.870;5.104.043;0;0;0;0;0;0;0;0;217.209;4;348.259;6.652.718;0;6.652.718
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;09/2018;116.439;367.961;1.423.617;2.391.524;-185.156;2.206.368;0;0;0;0;0;2.203.450;202.715;18.165;6.538.715;0;6.538.715
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;09/2018;5.016;213.033;1.384.897;4.322.068;-251.205;4.070.863;0;483;483;0;966;504.416;5.408;28.448;6.213.047;483;6.212.564
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;09/2018;95.429;1.403.990;760.767;1.392.489;-134;1.392.355;0;0;0;0;0;2.120.228;699;3.681;5.777.148;0;5.777.148
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;09/2018;7.761;658.721;1.964.719;2.770.201;-141.423;2.628.778;0;0;0;0;0;128.168;30.078;216.925;5.635.149;0;5.635.149
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;09/2018;236;1.388.954;194.807;3.416.843;-214.877;3.201.966;0;0;0;0;0;178.876;3.737;632.540;5.601.116;0;5.601.116
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;09/2018;20.175;161.148;1.854.960;2.681.283;-61.422;2.619.861;0;0;0;0;0;742.033;89.321;79.103;5.566.601;0;5.566.601
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;09/2018;17.128;563.388;1.276.498;2.937.711;-40.276;2.897.435;0;0;0;0;0;734.435;53.671;11.794;5.554.350;0;5.554.350
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;09/2018;1.024;372.774;0;4.548.464;-141.693;4.406.771;1.130;387.479;114.804;-2.282;501.131;318.586;18.034;10.569;5.628.889;114.804;5.514.085
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;09/2018;101.762;957.324;1.198.913;2.049.386;-93.831;1.955.555;0;0;0;0;0;630.075;455.278;93.571;5.392.479;0;5.392.479
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;09/2018;2.148;1.818.802;1.683.068;2.016.936;-539.869;1.477.067;0;0;0;0;0;321.590;22.234;54.042;5.378.951;0;5.378.951
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;09/2018;4;3.401.967;1.565.672;107.935;-679;107.256;0;0;0;0;0;5.913;118;156.632;5.237.562;0;5.237.562
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;09/2018;24;4.655.675;292.014;0;0;0;0;0;0;0;0;1.366;1.578;200.722;5.151.378;0;5.151.378
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;09/2018;20.979;0;0;2.539.688;-152.350;2.387.338;0;0;0;0;0;26.949;2.420.673;267.372;5.123.312;0;5.123.312
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;09/2018;6.655;228.305;1.110;3.529.959;-41.713;3.488.246;0;0;0;0;0;1.358.779;4.723;7.107;5.094.926;0;5.094.926
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;09/2018;101.689;571.552;622.633;472.663;-16.497;456.166;0;0;0;0;0;839.048;2.379.364;91.831;5.062.284;0;5.062.284
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;09/2018;8.847;1.332.106;278.085;2.833.695;-82.245;2.751.450;0;0;0;0;0;384.823;212.809;38.663;5.006.782;0;5.006.782
