Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
PAN;1000080257;b1;;C;2;SAO PAULO;SP;09/2016;1.930.735;0;1.930.735;778.255;2.708.990;18.503.630;91.570;0;316.898;0;408.468;1.285.684;20.197.781;27.381.960;9,56%;9,56%;13,41%;7,05%;19,34%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;09/2016;2.823.727;0;2.823.727;708.687;3.532.414;17.249.366;90.803;119.767;772.527;1.418;984.514;944.699;19.178.580;32.318.787;14,72%;14,72%;18,42%;8,74%;1,07%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;09/2016;1.778.086;0;1.778.086;828.424;2.606.510;15.649.873;312.644;223.878;1.233.003;0;1.769.525;1.317.801;18.737.199;19.623.281;9,49%;9,49%;13,91%;9,06%;0,73%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;09/2016;2.520.432;0;2.520.432;0;2.520.432;12.030.223;314.546;0;1.253.862;50.648;1.619.057;2.155.278;15.804.558;19.953.854;15,95%;15,95%;15,95%;12,63%;10,57%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;09/2016;2.649.264;0;2.649.264;968.635;3.617.899;14.550.380;0;0;0;0;0;1.236.905;15.787.285;19.421.118;16,78%;16,78%;22,92%;13,64%;0,66%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;09/2016;2.701.461;0;2.701.461;0;2.701.461;14.607.222;3.172;0;39.149;0;42.321;966.002;15.615.545;22.569.124;17,30%;17,30%;17,30%;11,97%;9,41%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;09/2016;2.230.163;0;2.230.163;0;2.230.163;13.973.707;15.715;0;0;12.067;27.782;1.012.895;15.014.384;17.368.685;14,85%;14,85%;14,85%;12,84%;1,17%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;C;2;RIO DE JANEIRO;RJ;09/2016;5.507.729;0;5.507.729;0;5.507.729;530.446;0;0;1.092.735;10.677.602;11.770.338;300.052;12.600.836;7.608.625;43,71%;43,71%;43,71%;72,39%;0,00%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;09/2016;1.848.901;0;1.848.901;0;1.848.901;6.193.551;205.786;0;2.638.883;611;2.845.281;1.606.920;10.645.752;20.677.724;17,37%;17,37%;17,37%;8,94%;2,72%
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;09/2016;1.619.025;0;1.619.025;0;1.619.025;6.254.650;102.542;0;2.832.151;0;2.934.694;1.008.091;10.197.434;14.569.289;15,88%;15,88%;15,88%;11,11%;1,11%
