Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2017;110.454.109;153.654;110.607.763;19.786.308;130.394.071;642.687.000;3.893.861;467.024;15.839.011;1.832.616;22.032.512;54.417.146;719.136.657;1.302.425.229;15,36%;15,38%;18,13%;8,49%;24,60%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2017;62.926.075;21.941.170;84.867.245;39.182.121;124.049.367;618.942.361;8.180.981;4.243;1.537.649;0;9.722.873;54.986.312;683.651.545;1.132.202.129;9,20%;12,41%;18,15%;7,50%;16,87%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2017;67.915.450;5.207.121;73.122.571;19.797.079;92.919.650;546.287.465;3.235.147;20.435;9.591.782;249.642;13.097.005;48.156.699;607.541.169;1.083.956.147;11,18%;12,04%;15,29%;6,75%;42,29%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2017;90.576.284;0;90.576.284;45.288.142;135.864.426;511.021.824;44.327.205;0;2.988.170;0;47.315.375;35.416.564;593.753.763;865.339.525;15,25%;15,25%;22,88%;10,47%;9,45%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2017;51.954.149;0;51.954.149;27.045.893;79.000.042;514.201.647;3.906.102;1.889.342;3.685.509;0;9.480.953;57.488.105;581.170.705;1.374.513.248;8,94%;8,94%;13,59%;3,78%;13,52%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2017;53.760.991;4.012.325;57.773.316;4.097.519;61.870.834;316.231.666;8.982.659;0;34.831.470;1.504.768;45.318.897;31.914.296;393.464.859;619.863.093;13,66%;14,68%;15,72%;9,32%;16,61%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2017;12.423.539;4.083.269;16.506.808;2.857.586;19.364.394;54.162.329;2.020.636;4.251.330;24.629.330;7.403.784;38.305.079;7.080.091;99.547.499;126.324.730;12,48%;16,58%;19,45%;13,07%;36,52%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2017;9.351.031;952.281;10.303.313;1.936.487;12.239.800;73.467.563;435.758;0;3.286.876;467.514;4.190.147;6.137.422;83.795.132;169.754.678;11,16%;12,30%;14,61%;6,07%;30,26%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2017;6.164.219;0;6.164.219;1.846.181;8.010.400;54.362.055;467.663;0;746.360;149.087;1.363.109;5.150.939;60.876.103;131.134.623;10,13%;10,13%;13,16%;4,70%;17,19%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2017;8.525.957;0;8.525.957;0;8.525.957;34.856.175;246.989;97.293;11.047.583;531.825;11.923.690;5.834.992;52.614.857;78.399.214;16,20%;16,20%;16,20%;10,88%;4,10%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;03/2017;4.075.830;0;4.075.830;2.047.271;6.123.101;29.898.298;320.151;6.216;109.708;0;436.076;8.012.099;38.346.473;69.825.304;10,63%;10,63%;15,97%;5,84%;3,33%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2017;5.149.733;0;5.149.733;888.288;6.038.021;29.194.752;1.224.711;0;1.757;36.242;1.262.710;7.810.214;38.267.676;71.881.763;13,46%;13,46%;15,78%;7,16%;9,10%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;03/2017;3.256.703;0;3.256.703;1.584.200;4.840.903;18.018.496;477.527;0;3.982.257;640.282;5.100.066;3.073.705;26.192.266;65.245.641;12,43%;12,43%;18,48%;4,99%;4,55%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2017;3.185.128;0;3.185.128;785.882;3.971.010;17.116.051;132.134;0;4.803.265;562;4.935.961;2.964.763;25.016.775;28.744.906;12,73%;12,73%;15,87%;11,08%;1,44%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2017;3.021.173;0;3.021.173;270.968;3.292.140;19.061.607;232.584;148.735;539.081;0;920.400;1.094.143;21.076.150;36.768.957;14,33%;14,33%;15,62%;8,22%;1,08%
PAN;1000080257;b1;S3;C;2;SAO PAULO;SP;03/2017;1.678.386;0;1.678.386;661.461;2.339.846;18.409.840;6.578;0;490.826;0;497.403;1.774.463;20.681.706;26.558.706;8,12%;8,12%;11,31%;6,32%;20,51%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2017;4.604.032;0;4.604.032;0;4.604.032;10.014.424;544.398;0;7.093.821;294.419;7.932.638;2.582.624;20.529.686;27.341.143;22,43%;22,43%;22,43%;16,84%;2,47%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2017;1.980.808;0;1.980.808;730.114;2.710.922;16.486.891;157.241;372.962;781.341;0;1.311.544;1.434.989;19.233.424;23.962.113;10,30%;10,30%;14,09%;8,27%;0,62%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2017;2.662.539;0;2.662.539;0;2.662.539;14.471.130;2.253;0;65.654;0;67.907;2.950.680;17.489.717;24.205.213;15,22%;15,22%;15,22%;11,00%;9,25%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2017;2.736.631;0;2.736.631;0;2.736.631;12.041.817;517.983;0;1.299.821;56.986;1.874.790;2.058.404;15.975.010;21.231.423;17,13%;17,13%;17,13%;12,89%;9,15%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2017;2.295.162;0;2.295.162;0;2.295.162;14.082.859;58.410;0;0;10.965;69.375;1.031.108;15.183.342;17.672.878;15,12%;15,12%;15,12%;12,99%;1,03%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2017;2.726.156;0;2.726.156;956.452;3.682.608;13.119.788;0;0;0;0;0;1.295.333;14.415.121;16.524.148;18,91%;18,91%;25,55%;16,50%;0,40%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2017;5.659.049;0;5.659.049;0;5.659.049;1.100.734;0;0;1.009.389;11.542.102;12.551.491;353.729;14.005.954;8.852.738;40,40%;40,40%;40,40%;63,92%;0,22%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2017;2.072.074;0;2.072.074;0;2.072.074;6.260.831;679.097;0;3.521.539;0;4.200.637;1.724.613;12.186.080;18.378.406;17,00%;17,00%;17,00%;11,27%;2,18%
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2017;1.049.634;0;1.049.634;387.175;1.436.809;8.259.398;48.642;762;71.922;37.063;158.388;903.306;9.321.092;14.689.210;11,26%;11,26%;15,41%;7,15%;12,94%
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2017;1.617.296;0;1.617.296;0;1.617.296;7.690.992;81;0;0;0;81;1.515.147;9.206.220;10.762.365;17,57%;17,57%;17,57%;15,03%;4,79%
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;03/2017;2.269.794;0;2.269.794;0;2.269.794;7.697.330;34.471;0;199.425;52.596;286.492;1.045.314;9.029.136;14.270.634;25,14%;25,14%;25,14%;15,91%;13,84%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;03/2017;1.493.459;0;1.493.459;31.584;1.525.043;7.665.568;0;0;0;0;0;987.280;8.652.848;8.184.803;17,26%;17,26%;17,62%;18,25%;0,10%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2017;2.217.654;0;2.217.654;0;2.217.654;4.303.992;207.135;4.638;1.046.363;1.503.816;2.761.952;1.291.816;8.357.760;12.734.490;26,53%;26,53%;26,53%;17,41%;0,84%
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2017;956.402;0;956.402;592.441;1.548.843;8.146.514;11.351;0;51.636;0;62.987;69.901;8.279.402;14.415.980;11,55%;11,55%;18,71%;6,63%;19,88%
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2017;-45.810;226.273;180.463;794.862;975.326;7.250.340;79.680;0;8;0;79.688;741.133;8.071.161;13.675.966;-0,57%;2,24%;12,08%;1,32%;11,56%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2017;1.382.681;0;1.382.681;0;1.382.681;6.847.247;6.829;0;136.998;0;143.827;1.037.883;8.028.958;39.463.234;17,22%;17,22%;17,22%;3,50%;7,06%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2017;1.128.497;0;1.128.497;0;1.128.497;6.673.793;29.104;0;546.407;96.841;672.352;620.293;7.966.439;8.081.583;14,17%;14,17%;14,17%;13,96%;25,48%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2017;1.199.906;0;1.199.906;0;1.199.906;6.796.348;0;0;0;0;0;685.539;7.481.888;7.550.234;16,04%;16,04%;16,04%;15,89%;0,69%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;S4;I;2;SAO PAULO;SP;03/2017;4.002.315;0;4.002.315;0;4.002.315;2.954.917;0;0;0;0;0;4.341.989;7.296.907;0;54,85%;54,85%;54,85%;NI%;0,82%
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;03/2017;1.048.131;0;1.048.131;29.219;1.077.350;6.054.822;58.214;106.789;473.632;0;638.636;442.486;7.135.944;9.831.773;14,69%;14,69%;15,10%;10,66%;18,83%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2017;593.472;1.128;594.600;395.085;989.685;5.929.782;3.072;0;1.219;0;4.291;1.086.395;7.020.468;10.387.237;8,45%;8,47%;14,10%;5,72%;24,25%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;03/2017;1.448.445;0;1.448.445;0;1.448.445;4.663.844;102.297;0;1.295.691;0;1.397.988;908.542;6.970.375;8.053.995;20,78%;20,78%;20,78%;17,98%;0,80%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;03/2017;930.736;0;930.736;57.354;988.090;6.342.921;205.352;0;0;0;205.352;321.131;6.869.404;7.342.988;13,55%;13,55%;14,38%;12,68%;0,58%
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2017;1.253.415;0;1.253.415;0;1.253.415;5.283.273;11.043;0;146.267;0;157.310;1.402.328;6.842.910;19.072.557;18,32%;18,32%;18,32%;6,57%;21,61%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;03/2017;1.008.707;0;1.008.707;0;1.008.707;5.811.937;130.217;0;128.986;0;259.203;499.130;6.570.270;7.392.111;15,35%;15,35%;15,35%;13,65%;10,26%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2017;1.417.305;0;1.417.305;0;1.417.305;3.302.426;22.127;0;1.555.306;63.100;1.640.533;1.011.676;5.954.635;6.724.749;23,80%;23,80%;23,80%;21,08%;2,03%
