Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2018;110.457.339;7.745.826;118.203.165;15.869.184;134.072.349;685.245.315;5.607.367;819.076;15.760.247;2.828.162;25.014.853;70.467.973;780.728.141;1.390.407.289;14,15%;15,14%;17,17%;8,50%;21,41%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2018;66.676.147;24.002.355;90.678.502;39.399.522;130.078.024;611.008.193;20.658.420;4.602;9.023.157;0;29.686.179;64.186.019;704.880.390;1.157.385.491;9,46%;12,86%;18,45%;7,83%;14,25%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2018;69.588.741;5.204.706;74.793.447;22.991.523;97.784.970;588.341.325;4.410.823;559.094;10.873.139;227.692;16.070.748;53.509.834;657.921.906;1.109.253.593;10,58%;11,37%;14,86%;6,74%;44,88%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2018;105.357.967;0;105.357.967;52.678.983;158.036.950;466.892.616;29.776.703;0;10.549.713;0;40.326.416;37.748.803;544.967.834;941.147.165;19,33%;19,33%;29,00%;11,19%;7,95%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2018;65.522.616;0;65.522.616;34.688.730;100.211.346;445.203.405;3.192.263;1.680.843;5.509.325;136.137;10.518.568;69.051.696;524.773.669;1.318.082.720;12,49%;12,49%;19,10%;4,97%;9,41%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2018;52.244.232;4.881.659;57.125.891;4.953.371;62.079.262;354.376.884;4.821.069;0;19.820.958;4.160.141;28.802.168;37.372.300;420.551.352;686.816.246;12,42%;13,58%;14,76%;8,32%;12,90%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2018;10.255.542;1.151.371;11.406.913;2.665.260;14.072.173;92.523.944;6.895.374;0;1.833.913;23;8.729.310;8.845.122;110.098.376;186.253.654;9,31%;10,36%;12,78%;6,12%;32,64%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2018;9.949.687;3.535.657;13.485.344;2.057.576;15.542.920;57.021.780;1.246.729;5.020.603;10.635.142;7.052.220;23.954.694;8.934.201;89.910.675;174.114.020;11,07%;15,00%;17,29%;7,75%;30,17%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2018;6.475.931;1.156.708;7.632.639;1.943.831;9.576.470;51.819.225;1.013.899;0;1.311.181;523;2.325.603;5.639.602;59.784.431;115.408.140;10,83%;12,77%;16,02%;6,61%;20,80%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2018;8.281.749;0;8.281.749;0;8.281.749;31.521.855;1.593.771;113.897;18.267.123;509.804;20.484.595;4.722.119;56.728.568;75.777.032;14,60%;14,60%;14,60%;10,93%;1,59%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2018;4.289.280;0;4.289.280;2.261.711;6.550.991;32.157.644;244.225;5.217;157.867;0;407.309;9.201.449;41.766.401;82.752.497;10,27%;10,27%;15,68%;5,18%;2,32%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2018;5.252.792;0;5.252.792;710.630;5.963.422;29.009.868;1.353.200;0;3.112;38.307;1.394.619;9.285.522;39.690.008;78.095.784;13,23%;13,23%;15,02%;6,73%;5,49%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2018;4.670.889;0;4.670.889;0;4.670.889;13.863.942;1.725.656;20.385;11.355.540;755.305;13.856.886;2.862.295;30.583.123;33.568.553;15,27%;15,27%;15,27%;13,91%;2,22%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2018;3.158.219;0;3.158.219;797.424;3.955.644;20.482.307;253.310;0;4.153.252;60.059;4.466.621;3.629.623;28.578.551;36.821.486;11,05%;11,05%;13,84%;8,58%;1,39%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2018;3.367.454;0;3.367.454;785.755;4.153.209;23.253.971;186.681;58.064;681.530;858;927.133;1.557.492;25.738.596;39.069.196;13,08%;13,08%;16,14%;8,62%;0,62%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2018;3.585.580;0;3.585.580;1.542.570;5.128.151;13.546.142;2.547.990;0;5.176.233;295.039;8.019.262;3.511.243;25.076.647;43.099.487;14,30%;14,30%;20,45%;8,32%;1,15%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2018;2.625.616;0;2.625.616;1.623.472;4.249.088;20.203.794;460.103;473.469;1.281.599;0;2.215.172;1.784.573;24.203.539;31.393.019;10,85%;10,85%;17,56%;8,36%;0,34%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2018;3.193.795;0;3.193.795;10.254;3.204.048;15.644.662;1.441.386;0;1.047.315;74.030;2.562.731;2.082.355;20.289.748;25.241.805;15,74%;15,74%;15,79%;12,65%;27,34%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2018;2.358.881;0;2.358.881;0;2.358.881;14.156.299;733;149.054;29.820;0;179.607;3.627.269;17.963.176;27.576.334;13,13%;13,13%;13,13%;8,55%;6,68%
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;06/2018;2.076.356;0;2.076.356;361.397;2.437.753;15.313.030;34.961;0;81.825;0;116.785;2.377.962;17.807.777;25.334.255;11,66%;11,66%;13,69%;8,20%;16,87%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;06/2018;2.570.151;0;2.570.151;0;2.570.151;14.120.638;9.224;0;0;1.324;10.548;1.211.705;15.342.891;17.799.316;16,75%;16,75%;16,75%;14,44%;0,80%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;06/2018;2.877.094;0;2.877.094;0;2.877.094;8.463.538;528.719;11.745;1.188.197;3.179.188;4.907.849;1.556.267;14.927.654;20.591.087;19,27%;19,27%;19,27%;13,97%;0,55%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2018;2.485.451;0;2.485.451;0;2.485.451;4.082.321;1.289.413;69.591;6.795.199;130;8.154.332;2.078.901;14.315.555;29.598.146;17,36%;17,36%;17,36%;8,40%;2,41%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2018;2.902.147;0;2.902.147;927.848;3.829.995;12.532.366;0;0;0;0;0;1.210.813;13.743.179;15.740.533;21,12%;21,12%;27,87%;18,44%;0,14%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2018;5.827.271;0;5.827.271;0;5.827.271;110.400;0;0;655.111;11.472.488;12.127.599;416.270;12.654.270;7.789.670;46,05%;46,05%;46,05%;74,81%;0,01%
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;06/2018;2.342.884;0;2.342.884;0;2.342.884;10.007.077;148.112;59.281;718.714;97.927;1.024.034;1.165.310;12.196.421;14.804.922;19,21%;19,21%;19,21%;15,83%;14,49%
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;06/2018;1.259.802;280.702;1.540.504;688.433;2.228.937;8.027.732;939.263;0;15.336;0;954.598;828.851;9.811.181;17.690.770;12,84%;15,70%;22,72%;8,71%;2,29%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;06/2018;1.594.073;0;1.594.073;17.642;1.611.715;8.164.981;0;0;0;0;0;1.200.269;9.365.249;8.591.169;17,02%;17,02%;17,21%;18,55%;0,19%
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2018;1.284.124;0;1.284.124;0;1.284.124;8.556.407;32.030;0;5.945;0;37.976;653.577;9.247.960;15.209.241;13,89%;13,89%;13,89%;8,44%;16,99%
