Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;06/2015;68.935.770;20.917.586;89.853.356;38.137.711;127.991.067;749.291.147;7.498.004;39.488;4.111.397;0;11.648.889;30.116.897;791.056.934;NA;8,71%;11,36%;16,18%;NA%;16,06%
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;06/2015;96.959.047;49.374;97.008.420;29.415.859;126.424.280;681.789.037;7.604.982;572.627;9.956.545;1.127.573;19.261.727;35.508.837;736.559.601;NA;13,16%;13,17%;17,16%;NA%;30,10%
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;06/2015;73.931.002;0;73.931.002;36.965.501;110.896.503;597.646.642;18.245.710;0;11.925.487;0;30.171.197;25.075.903;652.893.742;NA;11,32%;11,32%;16,99%;NA%;9,74%
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;06/2015;77.501.951;0;77.501.951;19.513.015;97.014.965;552.851.291;3.600.273;410.644;11.115.462;131.107;15.257.485;39.117.367;607.226.143;NA;12,76%;12,76%;15,98%;NA%;39,62%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;06/2015;57.802.919;0;57.802.919;19.740.682;77.543.601;517.248.310;1.811.071;0;1.756.766;0;3.567.837;33.593.240;554.409.387;NA;10,43%;10,43%;13,99%;NA%;14,25%
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;06/2015;57.482.919;3.928.066;61.410.985;5.572.692;66.983.676;323.101.055;7.042.356;0;22.081.836;231.609;29.355.802;18.627.431;371.084.288;NA;15,49%;16,55%;18,05%;NA%;18,03%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;06/2015;14.198.513;4.085.681;18.284.194;4.265.039;22.549.234;77.570.473;2.313.004;26.045.173;20.055.209;3.947.709;52.361.095;1.945.665;131.877.233;NA;10,77%;13,86%;17,10%;NA%;37,32%
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;06/2015;9.013.070;0;9.013.070;5.793.604;14.806.674;92.800.820;166.088;0;7.514.939;191.386;7.872.412;11.172.782;111.846.015;NA;8,06%;8,06%;13,24%;NA%;18,88%
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;06/2015;9.306.259;934.381;10.240.640;2.044.307;12.284.948;79.007.878;1.191.055;1.482;373.482;19.773;1.585.791;6.705.661;87.299.330;NA;10,66%;11,73%;14,07%;NA%;21,76%
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;06/2015;7.105.058;0;7.105.058;3.862.085;10.967.143;66.292.634;740.851;27;2.311.764;34.036;3.086.678;4.406.840;73.786.153;NA;9,63%;9,63%;14,86%;NA%;3,30%
