Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2013;67.055.163;18.445.734;85.500.898;32.733.454;118.234.351;760.878.423;13.533.033;13.868;1.693.075;0;15.239.976;36.951.723;813.070.121;NA;8,25%;10,52%;14,54%;NA%;23,47%
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2013;87.409.232;0;87.409.232;37.734.317;125.143.549;699.318.115;0;361.673;22.107.273;2.086.064;24.555.009;36.847.149;760.720.273;NA;11,49%;11,49%;16,45%;NA%;49,92%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2013;70.808.080;0;70.808.080;24.995.582;95.803.662;526.108.347;6.537.280;231.910;19.960.226;604.532;27.333.949;23.334.834;576.777.130;NA;12,28%;12,28%;16,61%;NA%;45,38%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2013;60.418.266;12.028.055;72.446.321;36.223.161;108.669.482;532.080.820;10.982.005;0;11.562.272;0;22.544.277;11.036.368;565.661.464;NA;10,68%;12,81%;19,21%;NA%;40,91%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2013;34.437.984;25.080.930;59.518.914;11.922.079;71.440.993;450.874.561;0;0;1.447.893;0;1.447.893;19.752.990;472.075.445;NA;7,30%;12,61%;15,13%;NA%;12,85%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2013;63.486.309;0;63.486.309;2.701.014;66.187.323;310.974.673;0;0;17.658.854;955.645;18.614.499;15.354.431;344.943.603;NA;18,40%;18,40%;19,19%;NA%;29,96%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2013;9.831.979;0;9.831.979;2.168.923;12.000.902;85.738.088;0;0;6.061.334;455.254;6.516.588;9.909.117;102.163.793;NA;9,62%;9,62%;11,75%;NA%;35,17%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2013;11.375.535;0;11.375.535;5.113.625;16.489.160;57.562.788;0;5.429.873;22.057.342;4.273.967;31.761.182;3.626.438;92.950.408;NA;12,24%;12,24%;17,74%;NA%;36,80%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2013;7.559.378;0;7.559.378;2.094.806;9.654.183;71.560.570;826.607;37.550;1.715.213;180.868;2.760.239;3.272.323;77.593.131;NA;9,74%;9,74%;12,44%;NA%;20,31%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2013;7.100.432;0;7.100.432;4.116.950;11.217.382;71.990.485;0;21.627;1.508.709;147.273;1.677.609;3.640.726;77.308.820;NA;9,18%;9,18%;14,51%;NA%;3,90%
