Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;06/2014;10.643;1.658.892;101.075;21.740.566;-844.382;20.896.184;2.394;557.760;358.554;-16.901;901.807;2.469.303;216.877;38.997;26.293.777;358.554;25.935.224
PAN;1000080257;b1;;C;2;SAO PAULO;SP;06/2014;53.016;961.346;1.416.568;14.752.679;-907.814;13.844.866;2.438;267.819;189.468;-12.602;447.123;4.985.691;586.301;668.764;22.963.674;189.468;22.774.206
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;06/2014;37.667;576.754;2.336.393;14.621.892;-799.395;13.822.497;86;4.388;2.613;-175;6.912;2.868.346;840.517;1.542.544;22.031.628;2.613;22.029.016
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;06/2014;3.214;5.892.925;6.295.100;7.306.916;-37.497;7.269.419;0;0;0;0;0;838.153;1.354.727;66.570;21.720.109;0;21.720.109
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;06/2014;8.769;2.469.280;3.132.850;5.755.139;-301.012;5.454.128;0;212.757;0;0;212.757;7.988.754;501.898;90.117;19.858.553;0;19.858.553
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;06/2014;54.253;2.200.279;3.935.040;9.367.240;-167.077;9.200.163;0;0;0;0;0;2.752.040;71.613;22.823;18.236.212;0;18.236.212
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;06/2014;189.860;1.996.811;1.391.534;9.077.589;-434.418;8.643.171;0;0;0;0;0;3.130.847;579.548;215.374;16.147.146;0;16.147.146
CCB - PRUDENCIAL;1000080295;b1;;C;2;SAO PAULO;SP;06/2014;303.136;1.064.053;1.855.075;8.888.318;-641.677;8.246.640;3.447;432.449;119.407;-20.107;535.195;2.536.901;621.018;196.647;15.358.666;119.407;15.239.259
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;06/2014;288.610;3.828.156;4.894.121;3.873.951;-233.805;3.640.146;561;138.060;74.480;-8.398;204.704;910.332;913.993;204.154;14.884.216;74.480;14.809.735
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;06/2014;274.517;2.242.814;1.811.896;7.524.202;-158.892;7.365.309;0;0;0;0;0;2.967.470;9.385;34.240;14.705.632;0;14.705.632
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;06/2014;17.567;302.997;18.413;10.916.655;-207.138;10.709.517;6.268;263.409;214.630;-2.273;482.034;1.948.886;217.267;5.823;13.702.504;214.630;13.487.874
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;06/2014;8.289;240.318;4.683.666;7.082.224;-120.981;6.961.242;12.304;365.870;74.757;-3.476;449.454;773.817;104.464;266.521;13.487.773;74.757;13.413.016
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;06/2014;201.308;2.734.144;596.938;8.472.793;-702.507;7.770.286;25;978;1.116;-51;2.068;1.020.754;744.415;251.572;13.321.485;1.116;13.320.369
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;06/2014;181.664;726.777;1.018.352;8.533.103;-377.895;8.155.208;0;0;0;0;0;1.560.171;650.519;113.259;12.405.952;0;12.405.952
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;I;1;PORTO ALEGRE;RS;06/2014;416;433.393;1.173.473;10.513.716;-274.312;10.239.405;0;0;0;0;0;456.068;55.965;23.330;12.382.049;0;12.382.049
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;06/2014;48.349;1.615.563;5.815.402;2.691.922;-77.917;2.614.005;0;0;0;0;0;1.122.473;397.753;233.488;11.847.033;0;11.847.033
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;06/2014;29.213;7.218.601;2.414.718;49.534;0;49.534;0;0;0;0;0;1.651.332;805;18.817;11.383.020;0;11.383.020
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;06/2014;108.871;40.231;0;9.139.289;-264.848;8.874.441;1.001;76.452;41.892;-5.177;114.167;1.883.053;24.315;4.753;11.049.831;41.892;11.007.939
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;06/2014;92.894;1.145.732;2.274.903;5.749.069;-144.083;5.604.986;0;0;0;0;0;1.422.162;128.873;31.366;10.700.917;0;10.700.917
