Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;2.276.579;255.720;2.532.300;8.420.228;0;0;1.202.949;0;1.202.949;1.562.885;11.186.061;NA;NA%;NA%;22,64%;NA%;15,49%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;1.312.341;520.634;1.832.975;10.274.575;0;0;32.382;1.155;33.536;585.777;10.893.888;NA;NA%;NA%;16,83%;NA%;3,70%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2010;NA;NA;1.773.558;143.221;1.916.779;7.617.442;0;0;2.818;0;2.818;1.198.133;8.818.394;NA;NA%;NA%;21,74%;NA%;5,51%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;1.600.608;4.123;1.577.858;5.843.327;362.018;88.672;1.291.360;401.289;2.143.339;762.157;8.748.823;NA;NA%;NA%;18,04%;NA%;3,55%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;965.518;51.651;1.017.169;4.885.739;1.765.553;54.845;987.997;0;2.808.395;781.309;8.475.444;NA;NA%;NA%;12,00%;NA%;2,70%
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;1.717.938;0;1.716.670;7.439.228;223.086;0;26.079;17.074;266.238;671.838;8.377.304;NA;NA%;NA%;20,49%;NA%;11,03%
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2010;NA;NA;1.730.115;5.524;1.735.639;5.734.695;1.260.931;0;210.937;17.027;1.488.896;965.218;8.188.809;NA;NA%;NA%;21,20%;NA%;9,79%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;819.386;266.498;1.085.884;7.678.050;0;0;134.258;0;134.258;232.215;8.044.522;NA;NA%;NA%;13,50%;NA%;44,95%
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;1.124.564;11.942;1.136.506;6.453.499;134.153;0;184.243;137.938;456.334;806.977;7.716.810;NA;NA%;NA%;14,73%;NA%;8,47%
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;974.435;85.011;1.059.446;7.278.709;0;0;0;0;0;324.367;7.603.076;NA;NA%;NA%;13,93%;NA%;0,15%
