Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2011;19.328.236;141.008.351;100.735.476;331.127.978;-16.027.646;315.100.332;147.882;3.647.588;2.055.008;-119.819;5.730.658;107.526.513;95.772.633;27.634.765;812.836.964;2.055.008;810.781.957
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2011;15.105.742;90.215.380;122.452.979;257.139.950;-21.051.674;236.088.276;2.445.373;65.607.537;35.724.762;-2.297.248;101.480.425;98.389.255;99.028.944;41.627.274;804.388.275;35.724.762;768.663.512
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2011;7.450.453;86.043.453;119.426.266;217.998.944;-15.399.801;202.599.144;225.326;26.989.708;13.638.455;-1.260.208;39.593.280;65.393.972;70.135.797;30.885.545;621.527.909;13.638.455;607.889.454
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2011;211.033;2.649.826;77.598.876;179.787.996;-2.087.642;177.700.354;0;0;0;0;0;8.996.574;209.005.413;85.408.023;561.570.099;0;561.570.099
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2011;3.811.724;41.424.809;107.486.727;205.853.006;-13.034.763;192.818.243;0;0;0;0;0;27.158.412;81.090.257;6.369.513;460.159.686;0;460.159.686
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2011;4.225.066;22.895.734;82.438.765;153.419.607;-9.799.794;143.619.813;209.987;18.029.816;9.368.509;-513.777;27.094.535;65.391.744;46.904.723;28.840.232;421.410.611;9.368.509;412.042.101
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2011;1.511.194;16.492.195;25.532.821;45.432.168;-2.134.169;43.297.999;25.420;4.962.413;2.423.396;-89.218;7.322.011;22.569.499;25.508.444;4.743.247;146.977.410;2.423.396;144.554.014
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2011;151.625;17.063.369;29.777.511;56.573.048;-1.729.266;54.843.782;19.489;6.625.518;3.041.977;-184.006;9.502.978;6.191.047;7.499.369;243.866;125.273.546;3.041.977;122.231.569
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2011;218.142;24.150.132;6.705.608;35.632.960;-651.847;34.981.113;158.553;7.287.192;5.043.861;-97.607;12.392.000;6.294.927;2.699.939;1.497.902;88.939.764;5.043.861;83.895.902
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2011;975.391;5.226.975;14.999.686;12.061.568;-1.652.663;10.408.905;2.489;160.802;30.158;-1.509;191.939;15.390.514;6.706.905;1.008.806;54.909.121;30.158;54.878.963
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2011;180.672;19.711.898;19.810.987;5.379.607;-78.685;5.300.923;0;0;0;0;0;5.791.114;340.035;1.157.426;52.293.054;0;52.293.054
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2011;405.785;2.825.998;8.893.633;18.202.725;-1.167.934;17.034.792;45;130.549;56.795;-6.905;180.484;1.964.618;3.155.372;578.567;35.039.250;56.795;34.982.455
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2011;426.945;17.598.366;3.828.954;2.225.550;-237.076;1.988.475;0;0;0;0;0;5.178.130;47.463;340.997;29.409.330;0;29.409.330
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2011;24.254;535.578;4.603.283;6.149.231;-192.408;5.956.823;6.629;331.627;692;0;338.948;14.172.003;172.779;401.590;26.205.257;692;26.204.565
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2011;172.334;3.723.864;4.439.438;950.733;-4.572;946.161;0;0;0;0;0;15.682.978;242.961;28.228;25.235.964;0;25.235.964
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2011;90.212;3.850.950;8.709.577;10.515.114;-636.444;9.878.670;0;0;0;0;0;1.718.244;358.746;196.763;24.803.163;0;24.803.163
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;06/2011;3.924;194.151;310;17.765.461;-631.640;17.133.821;11.215;2.779.991;1.635.543;-93.670;4.333.079;1.281.905;248.195;176.789;23.372.174;1.635.543;21.736.632
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2011;104.858;2.816.126;816.749;11.521.165;-492.778;11.028.388;7.190;590.624;110.013;-8.323;699.505;2.048.544;307.275;190.652;18.012.097;110.013;17.902.084
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2011;44.951;608.433;11.284.815;537.195;0;537.195;0;0;0;0;0;3.791.791;3.424;72.616;16.343.225;0;16.343.225
