Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2011;NA;NA;71.051.239;21.563.918;92.560.637;538.078.388;0;657.682;8.795.909;350.473;9.804.064;31.456.539;579.338.990;NA;NA%;NA%;15,98%;NA%;48,63%
BB;49906;b1;;C;1;BRASILIA;DF;12/2011;NA;NA;60.791.381;24.877.817;82.154.035;538.728.979;0;56.704;759.294;6.199;822.198;28.888.311;568.439.488;NA;NA%;NA%;14,45%;NA%;27,19%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2011;NA;NA;58.365.176;12.865.209;71.126.901;437.633.210;0;132.517;16.380.596;1.004.540;17.517.653;18.222.006;473.372.870;NA;NA%;NA%;15,03%;NA%;48,37%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2011;NA;NA;51.869.008;48.053.367;99.113.381;451.923.038;0;0;652.280;0;652.280;7.807.763;460.383.080;NA;NA%;NA%;21,53%;NA%;0,41%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2011;NA;NA;21.466.776;18.683.916;39.540.314;279.223.841;0;0;555.690;0;555.690;16.636.879;296.416.409;NA;NA%;NA%;13,34%;NA%;16,63%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2011;NA;NA;64.783.069;6.642.092;71.401.682;261.467.687;0;44.373;10.276.802;764.245;11.085.420;15.643.069;288.196.177;NA;NA%;NA%;24,78%;NA%;34,03%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2011;NA;NA;8.086.351;3.967.829;12.054.180;81.124.471;0;33.318;1.620.318;101.945;1.755.582;2.444.665;85.324.718;NA;NA%;NA%;14,13%;NA%;1,77%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2011;NA;NA;8.614.297;2.805.189;11.419.486;75.050.794;0;0;1.897.175;35.194;1.932.369;8.299.434;85.282.596;NA;NA%;NA%;13,39%;NA%;41,25%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2011;NA;NA;5.979.632;2.064.274;8.043.906;59.561.729;0;12.426;739.290;173.971;925.686;1.652.487;62.139.903;NA;NA%;NA%;12,94%;NA%;25,11%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2011;NA;NA;6.331.062;3.165.531;8.430.975;31.411.278;0;1.089.611;9.234.681;1.250.772;11.575.064;2.357.574;45.343.916;NA;NA%;NA%;18,59%;NA%;45,35%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2011;NA;NA;6.661.279;97.653;6.758.931;35.771.790;0;65.004;1.562.811;258.106;1.885.921;3.804.288;41.461.999;NA;NA%;NA%;16,30%;NA%;14,08%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2011;NA;NA;3.561.466;1.126.571;4.688.037;30.266.542;0;0;1.764.400;0;1.764.400;351.629;32.382.571;NA;NA%;NA%;14,48%;NA%;3,23%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2011;NA;NA;2.302.307;2.302.307;4.604.614;23.814.980;0;3.137;5.841;0;8.978;3.940.453;27.764.412;NA;NA%;NA%;16,58%;NA%;4,06%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2011;NA;NA;4.397.386;-7.220;4.248.606;21.535.391;0;0;11.129;18.624;29.753;3.710.677;25.275.822;NA;NA%;NA%;16,81%;NA%;7,16%
