Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2019;109.156.378;10.967.848;120.124.226;11.932.110;132.056.336;705.895.736;11.031.182;811.908;13.863.418;10.876.581;36.583.088;81.341.095;823.819.919;1.463.219.496;13,25%;14,58%;16,03%;8,21%;28,29%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2019;73.781.698;24.256.958;98.038.655;36.898.134;134.936.789;606.099.289;19.242.721;1.395;5.015.732;0;24.259.848;70.105.346;700.464.483;1.325.829.591;10,53%;14,00%;19,26%;7,39%;14,84%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2019;88.943.539;9.426.846;98.370.385;25.041.502;123.411.887;612.394.209;5.161.867;764.039;5.977.674;843.397;12.746.976;57.494.077;682.635.262;1.187.223.592;13,03%;14,41%;18,08%;8,29%;35,30%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2019;134.219.058;0;134.219.058;52.678.983;186.898.041;482.007.543;42.823.959;0;3.768.224;0;46.592.183;39.989.984;568.589.709;917.349.721;23,61%;23,61%;32,87%;14,63%;4,26%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2019;71.622.884;0;71.622.884;34.731.505;106.354.389;440.627.079;4.296.962;1.799.903;3.961.342;188.298;10.246.504;78.899.760;529.773.343;1.402.149.809;13,52%;13,52%;20,08%;5,11%;9,75%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2019;60.163.699;5.011.149;65.174.849;4.989.383;70.164.231;367.912.877;8.925.763;38.857;25.583.937;5.651.843;40.200.400;46.526.950;454.640.227;702.140.148;13,23%;14,34%;15,43%;9,28%;10,52%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2019;11.982.059;1.172.427;13.154.486;2.893.913;16.048.399;94.853.781;926.115;0;2.401.750;17.350;3.345.215;8.376.129;106.575.125;185.619.500;11,24%;12,34%;15,06%;7,09%;31,51%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2019;10.342.737;3.497.719;13.840.456;3.765.466;17.605.922;53.689.820;3.097.690;4.526.013;23.925.150;8.816.438;40.365.290;6.958.234;101.013.343;232.690.970;10,24%;13,70%;17,43%;5,95%;41,32%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2019;7.460.103;1.197.791;8.657.894;1.245.021;9.902.915;53.109.019;595.165;0;1.550.563;111.675;2.257.403;6.401.132;61.767.553;113.162.060;12,08%;14,02%;16,03%;7,65%;20,34%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2019;8.833.688;0;8.833.688;0;8.833.688;29.444.099;1.627.102;124.443;18.084.402;103.895;19.939.842;5.267.325;54.651.266;75.230.032;16,16%;16,16%;16,16%;11,74%;1,34%
