Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2011;17.418.070;4.323.671;7.572.540;-2.514.852;1.238.265;2.510.748;30.548.441;-16.784.556;-2.542.178;-3.705.363;0;-5.040.722;-28.072.819;2.475.622;2.702.180;1.300.140;-2.409.927;-3.950.105;-690.045;3.366.761;5.156.387;-5.742.828;-267.438;2.208.184;453.432;2.661.616;1.805.572;-647.175;3.820.013;-1.071.887
BB;49906;b1;;C;1;BRASILIA;DF;09/2011;14.833.636;290.163;9.637.646;500.180;0;1.880.348;27.141.975;-13.304.040;-3.823.691;-213.855;-1.676.218;-2.796.680;-21.814.484;5.327.491;2.655.460;1.327.113;-3.576.260;-2.992.612;-766.666;968.412;2.176.711;-1.803.347;-2.011.190;3.316.301;32.129;3.348.429;-61.350;-369.142;2.917.937;-795.800
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2011;12.232.000;2.831.590;8.161.912;-1.173.436;1.140.471;1.710.064;24.902.601;-11.269.554;-6.360.205;-2.520.818;0;-3.896.087;-24.046.663;855.937;1.606.701;1.132.660;-2.864.135;-3.174.148;-367.099;4.250.431;2.860.347;-2.709.596;735.161;1.591.099;-16.162;1.574.936;1.245.239;0;2.820.175;-798.185
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2011;7.494.421;0;5.768.586;-623.255;14.552;1.828.866;14.483.171;-7.564.190;-1.719.702;0;0;-1.871.475;-11.155.367;3.327.804;2.706.022;467.340;-2.845.456;-1.669.719;-447.871;82.907;1.948.973;-2.263.340;-2.021.144;1.306.660;-56.146;1.250.514;393.456;-352.795;1.291.175;-211.993
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2011;9.813.534;890.120;3.600.717;-2.140.381;754.726;1.151.820;14.070.537;-9.311.069;-989.828;-1.149.530;0;-2.835.608;-14.286.035;-215.498;1.488.293;764.941;-1.334.279;-2.673.073;-553.945;263.178;4.398.297;-3.225.760;-872.347;-1.087.845;502.395;-585.450;1.775.711;-309.605;880.656;-400.029
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2011;10.289.274;0;1.750.010;347.401;4.286;0;12.390.972;-312.313;-17.026.673;0;0;517.842;-16.821.143;-4.430.171;46.258;0;-164.067;-77.495;-90.336;579.897;6.811.841;-163.260;6.942.838;2.512.666;-2.461;2.510.205;76.921;0;2.587.126;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2011;4.811.000;605.317;1.793.051;-544.093;199.530;177.778;7.042.583;-4.263.513;-803.555;-386.435;0;-977.606;-6.431.109;611.474;92.236;238.366;-234.632;-403.132;-106.676;-92;376.159;-738.218;-775.989;-164.514;-29.310;-193.825;188.708;-80.197;-85.313;0
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2011;2.727.725;384.106;1.271.665;572.511;0;635.041;5.591.048;-2.648.256;-474.713;-279.461;-33.130;-1.054.201;-4.489.761;1.101.287;396.081;219.933;-683.087;-1.008.281;-155.106;183.606;844.593;-701.132;-903.392;197.895;-3.496;194.399;187.774;-87.201;294.972;-295.000
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2011;2.482.856;1.045.937;990.607;-208.588;247.463;129.974;4.688.248;-1.893.779;-365.898;-974.063;0;-520.802;-3.754.541;933.707;126.784;61.569;-261.917;-232.859;-106.803;225.033;128.887;-125.687;-184.994;748.713;-8.617;740.096;-436.408;0;303.689;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2011;1.086.456;18.111;907.827;397.298;769.080;73.352;3.252.124;-620.789;-903.103;-11.727;0;-345.955;-1.881.575;1.370.549;281.649;120.590;-323.477;-544.636;-123.116;11.010;212.734;-446.141;-811.388;559.161;44.574;603.735;-236.264;-12.772;354.698;0
