Instituição financeira;Código;TCB;TD;TC;SR;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
SANTANDER;30.379;b1;C;3;S1;SAO PAULO;SP;03/2019;16.108;4.827.572;54.855;6.431.190;70.963;11.258.762;59.932;26.397.424;97.012;19.674.354;156.944;46.071.777;227.907;57.330.540;2.456;40.765.245;2.383;37.668.203;4.839;78.433.447;232.746;135.763.987
CITIBANK;30.403;b1;C;3;S2;SAO PAULO;SP;03/2019;3.327;3.879.891;21.495;5.150.751;24.822;9.030.642;20.076;24.402.241;26.695;29.673.136;46.771;54.075.377;71.593;63.106.019;678;17.550.074;577;11.208.295;1.255;28.758.369;72.848;91.864.388
JP MORGAN CHASE;20.107;b1;C;3;S3;SAO PAULO;SP;03/2019;713;2.516.315;6.555;1.566.727;7.268;4.083.042;3.383;20.912.237;5.982;21.271.826;9.365;42.184.064;16.633;46.267.106;921;13.481.273;908;15.309.361;1.829;28.790.635;18.462;75.057.741
ITAU;10.069;b1;C;2;S1;SAO PAULO;SP;03/2019;20.671;4.601.537;47.638;4.361.195;68.309;8.962.732;140.215;8.913.352;190.642;12.447.679;330.857;21.361.031;399.166;30.323.763;933;19.843.135;1.059;22.007.143;1.992;41.850.277;401.158;72.174.041
BRADESCO;10.045;b1;C;2;S1;OSASCO;SP;03/2019;20.132;9.185.409;56.499;8.085.341;76.631;17.270.750;123.680;10.359.640;82.774;10.625.077;206.454;20.984.718;283.085;38.255.468;1.619;13.361.621;1.604;11.647.804;3.223;25.009.426;286.308;63.264.893
SOCIETE GENERALE;31.859;b1;C;3;S3;SAO PAULO;SP;03/2019;231;244.691;1.070;308.174;1.301;552.865;643;6.948.924;1.355;7.414.394;1.998;14.363.317;3.299;14.916.182;651;17.507.407;563;15.406.646;1.214;32.914.053;4.513;47.830.235
BB;49.906;b1;C;1;S1;BRASILIA;DF;03/2019;20.927;8.122.693;31.315;5.491.729;52.242;13.614.423;147.641;7.096.862;152.810;8.058.254;300.451;15.155.116;352.693;28.769.539;819;3.246.739;882;5.596.127;1.701;8.842.866;354.394;37.612.405
BTG PACTUAL;49.944;b1;C;2;S1;RIO DE JANEIRO;RJ;03/2019;46;211.848;203;67.420;249;279.267;1.130;1.484.781;2.079;1.291.642;3.209;2.776.423;3.458;3.055.691;258;12.079.437;314;13.389.830;572;25.469.268;4.030;28.524.958
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;SAO PAULO;SP;03/2019;392;203.149;1.161;159.691;1.553;362.841;1.390;807.214;1.551;845.062;2.941;1.652.276;4.494;2.015.117;1.721;11.686.388;1.709;11.776.161;3.430;23.462.550;7.924;25.477.666
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;SAO PAULO;SP;03/2019;317;1.311.794;2.045;1.071.104;2.362;2.382.898;1.069;6.673.957;5.432;5.586.070;6.501;12.260.027;8.863;14.642.925;503;4.539.006;405;5.906.318;908;10.445.324;9.771;25.088.249
Banco Central do Brasil;38.166;;;;;BRASILIA;DF;03/2019;0;0;0;0;0;0;15;36.369;0;0;15;36.369;15;36.369;21;11.925.000;21;11.925.000;42;23.850.000;57;23.886.369
BNP PARIBAS;51.516;b1;C;3;S3;SAO PAULO;SP;03/2019;399;877.600;3.034;535.876;3.433;1.413.476;2.433;4.934.507;4.251;3.292.637;6.684;8.227.143;10.117;9.640.619;1.270;5.103.098;1.324;7.104.909;2.594;12.208.008;12.711;21.848.627
GOLDMAN SACHS;51.585;b2;C;3;S3;SAO PAULO;SP;03/2019;0;0;0;0;0;0;789;6.672.906;656;4.829.014;1.445;11.501.921;1.445;11.501.921;101;3.748.584;137;5.482.518;238;9.231.102;1.683;20.733.023
MORGAN STANLEY;51.413;b1;C;3;S3;SAO PAULO;SP;03/2019;0;0;0;0;0;0;1.735;5.463.050;1.690;4.645.240;3.425;10.108.290;3.425;10.108.290;96;2.939.085;177;4.269.334;273;7.208.419;3.698;17.316.709
ING;51.073;b1;C;3;S3;SAO PAULO;SP;03/2019;69;529.159;32;36.909;101;566.067;63;239.291;151;218.910;214;458.201;315;1.024.268;311;5.459.549;337;6.062.319;648;11.521.867;963;12.546.135
CREDIT AGRICOLE;51.066;b1;C;3;S3;SAO PAULO;SP;03/2019;38;300.065;17;12.157;55;312.222;122;309.266;172;218.939;294;528.205;349;840.427;253;3.918.310;265;4.293.731;518;8.212.041;867;9.052.468
VOTORANTIM;51.011;b1;C;2;S2;SAO PAULO;SP;03/2019;253;510.032;2.287;544.292;2.540;1.054.324;1.429;1.264.087;2.687;1.101.507;4.116;2.365.594;6.656;3.419.918;901;2.504.307;2.140;2.482.942;3.041;4.987.249;9.697;8.407.167
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;SAO PAULO;SP;03/2019;222;553.211;1.271;359.373;1.493;912.583;932;2.009.586;1.962;1.802.513;2.894;3.812.100;4.387;4.724.683;201;1.678.174;216;1.855.201;417;3.533.375;4.804;8.258.058
STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO;11.932.017;b2;I;3;S4;SAO PAULO;SP;03/2019;46;148.074;141;118.617;187;266.692;254;1.117.548;559;1.122.851;813;2.240.398;1.000;2.507.090;701;2.257.352;1.050;2.341.209;1.751;4.598.561;2.751;7.105.651
CREDIT SUISSE;30.771;b1;C;3;S3;SAO PAULO;SP;03/2019;5;289;0;0;5;289;644;1.823.406;567;933.235;1.211;2.756.641;1.216;2.756.930;74;1.685.042;98;2.209.027;172;3.894.069;1.388;6.650.999
RENDIMENTO;51.468;b1;C;2;S4;SAO PAULO;SP;03/2019;175;6.865;1.072;93.442;1.247;100.307;553.153;512.270;257.666;612.215;810.819;1.124.485;812.066;1.224.792;4.347;2.704.290;27.944;2.511.577;32.291;5.215.866;844.357;6.440.659
SOCOPA;50.328;b1;C;2;S4;SAO PAULO;SP;03/2019;584;403.039;1.825;76.894;2.409;479.932;799.426;493.284;9.932;472.924;809.358;966.208;811.767;1.446.140;7.509;1.900.499;30.902;2.221.187;38.411;4.121.686;850.178;5.567.826
SAFRA;10.083;b1;C;2;S2;SAO PAULO;SP;03/2019;509;336.884;2.441;351.228;2.950;688.112;89.872;1.766.444;64.345;1.460.009;154.217;3.226.453;157.167;3.914.565;446;467.738;437;757.275;883;1.225.013;158.050;5.139.578
