Instituição financeira;Código;TCB;TD;TC;Segmento;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
SANTANDER;30.379;b1;C;3;199;SAO PAULO;SP;12/2015;12.753;6.019.424;50.248;5.113.501;63.001;11.132.925;52.604;19.142.027;80.908;18.794.236;133.512;37.936.263;196.513;49.069.187;2.059;23.875.431;2.001;26.284.169;4.060;50.159.600;200.573;99.228.788
CITIBANK;30.403;b1;C;3;199;SAO PAULO;SP;12/2015;5.033;2.934.744;20.327;4.354.658;25.360;7.289.402;27.580;22.727.495;41.637;19.455.139;69.217;42.182.634;94.577;49.472.035;759;6.833.700;819;10.036.579;1.578;16.870.278;96.155;66.342.314
ITAU;10.069;b1;C;2;199;SAO PAULO;SP;12/2015;21.530;3.893.218;45.223;4.524.445;66.753;8.417.662;148.730;12.820.983;93.139;10.149.512;241.869;22.970.495;308.622;31.388.157;628;15.356.193;652;14.371.171;1.280;29.727.364;309.902;61.115.521
BB;49.906;b1;C;1;199;BRASILIA;DF;12/2015;27.847;9.347.247;36.252;5.814.022;64.099;15.161.269;61.761;13.547.706;68.704;19.446.387;130.465;32.994.092;194.564;48.155.361;1.251;5.473.261;1.004;3.163.333;2.255;8.636.594;196.819;56.791.955
HSBC;51.152;b1;C;3;199;CURITIBA;PR;12/2015;7.447;2.690.368;24.186;2.578.402;31.633;5.268.770;27.553;6.800.154;50.745;10.247.969;78.298;17.048.123;109.931;22.316.893;858;17.553.103;764;14.128.889;1.622;31.681.991;111.553;53.998.884
JP MORGAN CHASE;20.107;b1;C;3;199;SAO PAULO;SP;12/2015;568;1.632.241;5.808;1.984.404;6.376;3.616.645;2.425;12.909.477;5.275;15.818.168;7.700;28.727.645;14.076;32.344.291;650;6.255.163;733;6.827.315;1.383;13.082.478;15.459;45.426.768
BNP PARIBAS;51.516;b1;C;3;199;SAO PAULO;SP;12/2015;729;1.025.223;2.047;515.084;2.776;1.540.307;1.729;4.051.718;3.867;2.834.626;5.596;6.886.343;8.372;8.426.650;840;11.263.073;863;13.023.405;1.703;24.286.477;10.075;32.713.128
BRADESCO;10.045;b1;C;2;199;OSASCO;SP;12/2015;15.907;5.822.654;24.727;3.942.759;40.634;9.765.412;75.884;4.402.350;42.057;4.701.791;117.941;9.104.141;158.575;18.869.553;1.920;6.838.719;2.119;6.518.315;4.039;13.357.034;162.614;32.226.587
SOCIETE GENERALE;31.859;b1;C;3;199;SAO PAULO;SP;12/2015;57;221.354;481;83.165;538;304.519;546;1.872.958;899;1.684.197;1.445;3.557.155;1.983;3.861.674;359;10.863.929;372;10.969.914;731;21.833.842;2.714;25.695.516
BTG PACTUAL;49.944;b1;C;2;199;RIO DE JANEIRO;RJ;12/2015;118;148.420;47;4.273;165;152.693;1.345;2.292.639;1.608;2.829.046;2.953;5.121.685;3.118;5.274.377;326;10.105.073;331;9.819.780;657;19.924.853;3.775;25.199.230
DEUTSCHE;51.183;b1;C;3;199;SAO PAULO;SP;12/2015;598;1.245.848;2.614;1.067.524;3.212;2.313.372;1.217;3.981.199;3.577;3.645.408;4.794;7.626.607;8.006;9.939.979;360;5.854.835;354;6.673.210;714;12.528.046;8.720;22.468.024
CREDIT SUISSE;30.771;b1;C;3;199;SAO PAULO;SP;12/2015;24;6.888;0;0;24;6.888;786;1.251.993;896;1.684.840;1.682;2.936.833;1.706;2.943.722;961;8.529.706;994;8.296.319;1.955;16.826.025;3.661;19.769.747
BOFA MERRILL LYNCH;51.255;b1;C;3;199;SAO PAULO;SP;12/2015;342;1.745.720;797;343.472;1.139;2.089.192;734;5.347.256;2.056;5.881.263;2.790;11.228.520;3.929;13.317.711;87;2.533.590;113;3.894.539;200;6.428.128;4.129;19.745.840
Banco Central do Brasil;38.166;;;;0;BRASILIA;DF;12/2015;0;0;0;0;0;0;29;68.558;0;0;29;68.558;29;68.558;32;6.745.000;32;6.745.000;64;13.490.000;93;13.558.558
MORGAN STANLEY;51.413;b1;C;3;199;SAO PAULO;SP;12/2015;0;0;0;0;0;0;1.623;3.027.942;1.227;4.245.098;2.850;7.273.040;2.850;7.273.040;106;3.332.842;88;2.250.604;194;5.583.447;3.044;12.856.487
